state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,TURNER,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,757
SOUTH DAKOTA,46,TURNER,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),51
SOUTH DAKOTA,46,TURNER,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),178
SOUTH DAKOTA,46,TURNER,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),150
SOUTH DAKOTA,46,TURNER,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),120
SOUTH DAKOTA,46,TURNER,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),135
SOUTH DAKOTA,46,TURNER,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",123
SOUTH DAKOTA,46,TURNER,125,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"392,794"
SOUTH DAKOTA,46,TURNER,125,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,519
SOUTH DAKOTA,46,TURNER,125,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,176
SOUTH DAKOTA,46,TURNER,125,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,604,252"
SOUTH DAKOTA,46,TURNER,125,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"5,019"
SOUTH DAKOTA,46,TURNER,125,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"200,667,000"
SOUTH DAKOTA,46,TURNER,125,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"265,081"
SOUTH DAKOTA,46,TURNER,125,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,640
SOUTH DAKOTA,46,TURNER,125,AG LAND,"AG LAND, CROPLAND - ACRES",,"350,342"
SOUTH DAKOTA,46,TURNER,125,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,553
SOUTH DAKOTA,46,TURNER,125,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"332,905"
SOUTH DAKOTA,46,TURNER,125,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,96
SOUTH DAKOTA,46,TURNER,125,AG LAND,"AG LAND, IRRIGATED - ACRES",,"26,943"
SOUTH DAKOTA,46,TURNER,125,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"265,710,000"
SOUTH DAKOTA,46,TURNER,125,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"351,003"
SOUTH DAKOTA,46,TURNER,125,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"162,925,000"
SOUTH DAKOTA,46,TURNER,125,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"102,785,000"
SOUTH DAKOTA,46,TURNER,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,TURNER,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",183
SOUTH DAKOTA,46,TURNER,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",37
SOUTH DAKOTA,46,TURNER,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",44
SOUTH DAKOTA,46,TURNER,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",50
SOUTH DAKOTA,46,TURNER,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",55
SOUTH DAKOTA,46,TURNER,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",41
SOUTH DAKOTA,46,TURNER,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",347
SOUTH DAKOTA,46,TURNER,125,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,548
SOUTH DAKOTA,46,TURNER,125,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"9,119,000"
SOUTH DAKOTA,46,TURNER,125,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,491
SOUTH DAKOTA,46,TURNER,125,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"10,226,000"
SOUTH DAKOTA,46,TURNER,125,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"213,068,000"
