state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,UNION,127,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,557
SOUTH DAKOTA,46,UNION,127,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),31
SOUTH DAKOTA,46,UNION,127,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),131
SOUTH DAKOTA,46,UNION,127,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),115
SOUTH DAKOTA,46,UNION,127,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),102
SOUTH DAKOTA,46,UNION,127,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),76
SOUTH DAKOTA,46,UNION,127,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",102
SOUTH DAKOTA,46,UNION,127,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"290,055"
SOUTH DAKOTA,46,UNION,127,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,521
SOUTH DAKOTA,46,UNION,127,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,187
SOUTH DAKOTA,46,UNION,127,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,059,199"
SOUTH DAKOTA,46,UNION,127,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"5,875"
SOUTH DAKOTA,46,UNION,127,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"175,669,000"
SOUTH DAKOTA,46,UNION,127,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"315,383"
SOUTH DAKOTA,46,UNION,127,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,507
SOUTH DAKOTA,46,UNION,127,AG LAND,"AG LAND, CROPLAND - ACRES",,"266,743"
