state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,WALWORTH,129,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,256
SOUTH DAKOTA,46,WALWORTH,129,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),6
SOUTH DAKOTA,46,WALWORTH,129,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),23
SOUTH DAKOTA,46,WALWORTH,129,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),44
SOUTH DAKOTA,46,WALWORTH,129,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),46
SOUTH DAKOTA,46,WALWORTH,129,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),35
SOUTH DAKOTA,46,WALWORTH,129,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",102
SOUTH DAKOTA,46,WALWORTH,129,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"453,301"
SOUTH DAKOTA,46,WALWORTH,129,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,771"
SOUTH DAKOTA,46,WALWORTH,129,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,613
SOUTH DAKOTA,46,WALWORTH,129,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,506,300"
SOUTH DAKOTA,46,WALWORTH,129,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,980"
SOUTH DAKOTA,46,WALWORTH,129,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"91,141,000"
SOUTH DAKOTA,46,WALWORTH,129,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"356,021"
SOUTH DAKOTA,46,WALWORTH,129,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,227
SOUTH DAKOTA,46,WALWORTH,129,AG LAND,"AG LAND, CROPLAND - ACRES",,"273,828"
SOUTH DAKOTA,46,WALWORTH,129,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,172
SOUTH DAKOTA,46,WALWORTH,129,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"237,695"
SOUTH DAKOTA,46,WALWORTH,129,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,8
SOUTH DAKOTA,46,WALWORTH,129,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,811"
SOUTH DAKOTA,46,WALWORTH,129,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"87,056,000"
