state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,YANKTON,135,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,610
SOUTH DAKOTA,46,YANKTON,135,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),35
SOUTH DAKOTA,46,YANKTON,135,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),110
SOUTH DAKOTA,46,YANKTON,135,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),149
SOUTH DAKOTA,46,YANKTON,135,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),119
SOUTH DAKOTA,46,YANKTON,135,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),91
SOUTH DAKOTA,46,YANKTON,135,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",106
SOUTH DAKOTA,46,YANKTON,135,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"329,607"
SOUTH DAKOTA,46,YANKTON,135,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,540
SOUTH DAKOTA,46,YANKTON,135,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,195
SOUTH DAKOTA,46,YANKTON,135,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,389,517"
SOUTH DAKOTA,46,YANKTON,135,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,422"
SOUTH DAKOTA,46,YANKTON,135,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"157,395,000"
SOUTH DAKOTA,46,YANKTON,135,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"258,025"
SOUTH DAKOTA,46,YANKTON,135,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,528
SOUTH DAKOTA,46,YANKTON,135,AG LAND,"AG LAND, CROPLAND - ACRES",,"252,592"
SOUTH DAKOTA,46,YANKTON,135,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,454
SOUTH DAKOTA,46,YANKTON,135,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"232,945"
SOUTH DAKOTA,46,YANKTON,135,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,68
SOUTH DAKOTA,46,YANKTON,135,AG LAND,"AG LAND, IRRIGATED - ACRES",,"38,028"
SOUTH DAKOTA,46,YANKTON,135,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"162,378,000"
SOUTH DAKOTA,46,YANKTON,135,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"266,193"
SOUTH DAKOTA,46,YANKTON,135,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"105,817,000"
SOUTH DAKOTA,46,YANKTON,135,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"56,561,000"
SOUTH DAKOTA,46,YANKTON,135,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,YANKTON,135,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",139
SOUTH DAKOTA,46,YANKTON,135,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",27
SOUTH DAKOTA,46,YANKTON,135,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",35
SOUTH DAKOTA,46,YANKTON,135,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",49
SOUTH DAKOTA,46,YANKTON,135,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",48
SOUTH DAKOTA,46,YANKTON,135,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",55
