state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,BOX ELDER,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,187"
UTAH,49,BOX ELDER,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),355
UTAH,49,BOX ELDER,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),245
UTAH,49,BOX ELDER,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),207
UTAH,49,BOX ELDER,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),137
UTAH,49,BOX ELDER,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),60
UTAH,49,BOX ELDER,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",183
UTAH,49,BOX ELDER,003,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,220,773"
UTAH,49,BOX ELDER,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,028"
UTAH,49,BOX ELDER,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,46
UTAH,49,BOX ELDER,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,577,010"
UTAH,49,BOX ELDER,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,533"
UTAH,49,BOX ELDER,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"174,666,000"
UTAH,49,BOX ELDER,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"147,150"
UTAH,49,BOX ELDER,003,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,916
UTAH,49,BOX ELDER,003,AG LAND,"AG LAND, CROPLAND - ACRES",,"308,292"
UTAH,49,BOX ELDER,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,792
UTAH,49,BOX ELDER,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"154,321"
UTAH,49,BOX ELDER,003,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,819
UTAH,49,BOX ELDER,003,AG LAND,"AG LAND, IRRIGATED - ACRES",,"103,836"
UTAH,49,BOX ELDER,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"134,068,000"
UTAH,49,BOX ELDER,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"112,947"
UTAH,49,BOX ELDER,003,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"56,906,000"
UTAH,49,BOX ELDER,003,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"77,162,000"
UTAH,49,BOX ELDER,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,BOX ELDER,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",401
