state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,CACHE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,397"
UTAH,49,CACHE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),371
UTAH,49,CACHE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),444
UTAH,49,CACHE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),283
UTAH,49,CACHE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),165
UTAH,49,CACHE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),81
UTAH,49,CACHE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",53
UTAH,49,CACHE,005,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"276,273"
UTAH,49,CACHE,005,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,198
UTAH,49,CACHE,005,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,30
UTAH,49,CACHE,005,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"955,825"
UTAH,49,CACHE,005,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,833"
UTAH,49,CACHE,005,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"168,682,000"
UTAH,49,CACHE,005,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"120,832"
UTAH,49,CACHE,005,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,"1,166"
UTAH,49,CACHE,005,AG LAND,"AG LAND, CROPLAND - ACRES",,"159,356"
UTAH,49,CACHE,005,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,"1,010"
UTAH,49,CACHE,005,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"116,796"
UTAH,49,CACHE,005,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,"1,002"
UTAH,49,CACHE,005,AG LAND,"AG LAND, IRRIGATED - ACRES",,"90,148"
UTAH,49,CACHE,005,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"162,737,000"
UTAH,49,CACHE,005,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"116,490"
UTAH,49,CACHE,005,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"41,413,000"
UTAH,49,CACHE,005,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"121,324,000"
UTAH,49,CACHE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,CACHE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",532
UTAH,49,CACHE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",148
UTAH,49,CACHE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",158
UTAH,49,CACHE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",137
UTAH,49,CACHE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",118
UTAH,49,CACHE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",85
UTAH,49,CACHE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",219
