state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,DAGGETT,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,52
UTAH,49,DAGGETT,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),14
UTAH,49,DAGGETT,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),7
UTAH,49,DAGGETT,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),12
UTAH,49,DAGGETT,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),8
UTAH,49,DAGGETT,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),5
UTAH,49,DAGGETT,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",6
UTAH,49,DAGGETT,009,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"17,671"
UTAH,49,DAGGETT,009,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,340
UTAH,49,DAGGETT,009,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,146
UTAH,49,DAGGETT,009,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"943,662"
UTAH,49,DAGGETT,009,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,777"
UTAH,49,DAGGETT,009,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"5,137,000"
UTAH,49,DAGGETT,009,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"98,797"
UTAH,49,DAGGETT,009,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,32
UTAH,49,DAGGETT,009,AG LAND,"AG LAND, CROPLAND - ACRES",,"6,556"
UTAH,49,DAGGETT,009,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,32
UTAH,49,DAGGETT,009,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"5,409"
UTAH,49,DAGGETT,009,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,42
UTAH,49,DAGGETT,009,AG LAND,"AG LAND, IRRIGATED - ACRES",,"7,168"
UTAH,49,DAGGETT,009,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"2,403,000"
UTAH,49,DAGGETT,009,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"46,215"
UTAH,49,DAGGETT,009,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"340,000"
UTAH,49,DAGGETT,009,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"2,063,000"
UTAH,49,DAGGETT,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,DAGGETT,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",16
UTAH,49,DAGGETT,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",10
UTAH,49,DAGGETT,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",6
UTAH,49,DAGGETT,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",11
UTAH,49,DAGGETT,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",2
UTAH,49,DAGGETT,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",7
UTAH,49,DAGGETT,009,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,4
UTAH,49,DAGGETT,009,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"220,000"
UTAH,49,DAGGETT,009,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,18
UTAH,49,DAGGETT,009,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"421,000"
UTAH,49,DAGGETT,009,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"2,131,000"
UTAH,49,DAGGETT,009,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"40,973"
UTAH,49,DAGGETT,009,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,52
UTAH,49,DAGGETT,009,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"914,000"
