state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,DAVIS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,528
UTAH,49,DAVIS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),325
UTAH,49,DAVIS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),152
UTAH,49,DAVIS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),34
UTAH,49,DAVIS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),9
UTAH,49,DAVIS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),1
UTAH,49,DAVIS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",7
UTAH,49,DAVIS,011,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"51,793"
UTAH,49,DAVIS,011,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,98
UTAH,49,DAVIS,011,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,7
UTAH,49,DAVIS,011,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"914,737"
UTAH,49,DAVIS,011,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"9,325"
UTAH,49,DAVIS,011,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"30,636,000"
UTAH,49,DAVIS,011,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"58,022"
UTAH,49,DAVIS,011,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,352
UTAH,49,DAVIS,011,AG LAND,"AG LAND, CROPLAND - ACRES",,"7,718"
UTAH,49,DAVIS,011,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,306
UTAH,49,DAVIS,011,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"6,316"
UTAH,49,DAVIS,011,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,389
UTAH,49,DAVIS,011,AG LAND,"AG LAND, IRRIGATED - ACRES",,"9,995"
UTAH,49,DAVIS,011,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"23,798,000"
UTAH,49,DAVIS,011,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"45,073"
UTAH,49,DAVIS,011,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"20,241,000"
UTAH,49,DAVIS,011,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"3,558,000"
UTAH,49,DAVIS,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,DAVIS,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",287
UTAH,49,DAVIS,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",56
UTAH,49,DAVIS,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",58
UTAH,49,DAVIS,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",63
UTAH,49,DAVIS,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",29
UTAH,49,DAVIS,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",13
UTAH,49,DAVIS,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",22
UTAH,49,DAVIS,011,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,15
UTAH,49,DAVIS,011,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"50,000"
UTAH,49,DAVIS,011,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,133
UTAH,49,DAVIS,011,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"2,674,000"
UTAH,49,DAVIS,011,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"22,908,000"
UTAH,49,DAVIS,011,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"43,386"
