state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,DUCHESNE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,063"
UTAH,49,DUCHESNE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),214
UTAH,49,DUCHESNE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),313
UTAH,49,DUCHESNE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),258
UTAH,49,DUCHESNE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),182
UTAH,49,DUCHESNE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),40
UTAH,49,DUCHESNE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",56
UTAH,49,DUCHESNE,013,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,057,413"
UTAH,49,DUCHESNE,013,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,995
UTAH,49,DUCHESNE,013,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,50
UTAH,49,DUCHESNE,013,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"970,628"
UTAH,49,DUCHESNE,013,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,976
UTAH,49,DUCHESNE,013,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"106,898,000"
