state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,EMERY,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,504
UTAH,49,EMERY,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),59
UTAH,49,EMERY,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),201
UTAH,49,EMERY,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),127
UTAH,49,EMERY,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),57
UTAH,49,EMERY,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),25
UTAH,49,EMERY,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",35
UTAH,49,EMERY,015,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"133,699"
UTAH,49,EMERY,015,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,265
UTAH,49,EMERY,015,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,44
UTAH,49,EMERY,015,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"557,310"
UTAH,49,EMERY,015,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,101"
UTAH,49,EMERY,015,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"37,500,000"
UTAH,49,EMERY,015,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"74,404"
UTAH,49,EMERY,015,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,412
UTAH,49,EMERY,015,AG LAND,"AG LAND, CROPLAND - ACRES",,"36,880"
UTAH,49,EMERY,015,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,366
UTAH,49,EMERY,015,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"21,370"
UTAH,49,EMERY,015,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,439
UTAH,49,EMERY,015,AG LAND,"AG LAND, IRRIGATED - ACRES",,"32,848"
UTAH,49,EMERY,015,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"15,354,000"
UTAH,49,EMERY,015,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"30,465"
UTAH,49,EMERY,015,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"4,883,000"
UTAH,49,EMERY,015,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"10,471,000"
UTAH,49,EMERY,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,EMERY,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",183
UTAH,49,EMERY,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",51
UTAH,49,EMERY,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",77
UTAH,49,EMERY,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",102
UTAH,49,EMERY,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",29
UTAH,49,EMERY,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",16
UTAH,49,EMERY,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",46
UTAH,49,EMERY,015,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,72
UTAH,49,EMERY,015,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"460,000"
UTAH,49,EMERY,015,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,111
UTAH,49,EMERY,015,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"360,000"
UTAH,49,EMERY,015,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"15,519,000"
UTAH,49,EMERY,015,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"30,792"
UTAH,49,EMERY,015,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,504
UTAH,49,EMERY,015,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"655,000"
UTAH,49,EMERY,015,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"1,299"
UTAH,49,EMERY,015,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,316
UTAH,49,EMERY,015,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"19,047"
UTAH,49,EMERY,015,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,276
UTAH,49,EMERY,015,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"13,010"
UTAH,49,EMERY,015,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,8
UTAH,49,EMERY,015,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,126
UTAH,49,EMERY,015,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,246
UTAH,49,EMERY,015,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"10,363"
UTAH,49,EMERY,015,HOGS,HOGS - OPERATIONS WITH INVENTORY,,26
UTAH,49,EMERY,015,HOGS,HOGS - INVENTORY,,249
UTAH,49,EMERY,015,HOGS,HOGS - OPERATIONS WITH SALES,,16
UTAH,49,EMERY,015,HOGS,"HOGS - SALES, MEASURED IN HEAD",,404
