state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,GARFIELD,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,286
UTAH,49,GARFIELD,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),43
UTAH,49,GARFIELD,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),105
UTAH,49,GARFIELD,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),69
UTAH,49,GARFIELD,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),43
UTAH,49,GARFIELD,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),6
UTAH,49,GARFIELD,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",20
UTAH,49,GARFIELD,017,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"82,637"
UTAH,49,GARFIELD,017,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,289
UTAH,49,GARFIELD,017,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,44
UTAH,49,GARFIELD,017,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"903,654"
UTAH,49,GARFIELD,017,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,127"
UTAH,49,GARFIELD,017,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"26,303,000"
UTAH,49,GARFIELD,017,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"91,968"
UTAH,49,GARFIELD,017,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,210
UTAH,49,GARFIELD,017,AG LAND,"AG LAND, CROPLAND - ACRES",,"16,297"
UTAH,49,GARFIELD,017,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,184
UTAH,49,GARFIELD,017,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"13,013"
UTAH,49,GARFIELD,017,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,238
UTAH,49,GARFIELD,017,AG LAND,"AG LAND, IRRIGATED - ACRES",,"21,194"
UTAH,49,GARFIELD,017,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"21,786,000"
UTAH,49,GARFIELD,017,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"76,176"
UTAH,49,GARFIELD,017,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,600,000"
UTAH,49,GARFIELD,017,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"18,186,000"
UTAH,49,GARFIELD,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,GARFIELD,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",103
UTAH,49,GARFIELD,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",20
UTAH,49,GARFIELD,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",45
UTAH,49,GARFIELD,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",52
UTAH,49,GARFIELD,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",16
UTAH,49,GARFIELD,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",17
UTAH,49,GARFIELD,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",33
UTAH,49,GARFIELD,017,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,11
UTAH,49,GARFIELD,017,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,(D)
UTAH,49,GARFIELD,017,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,71
UTAH,49,GARFIELD,017,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"1,318,000"
UTAH,49,GARFIELD,017,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"12,837,000"
UTAH,49,GARFIELD,017,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"44,885"
UTAH,49,GARFIELD,017,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,286
UTAH,49,GARFIELD,017,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"10,308,000"
UTAH,49,GARFIELD,017,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"36,042"
UTAH,49,GARFIELD,017,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,145
UTAH,49,GARFIELD,017,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"14,764"
UTAH,49,GARFIELD,017,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,132
UTAH,49,GARFIELD,017,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"10,219"
UTAH,49,GARFIELD,017,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,6
UTAH,49,GARFIELD,017,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,10
UTAH,49,GARFIELD,017,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,127
UTAH,49,GARFIELD,017,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"9,749"
UTAH,49,GARFIELD,017,HOGS,HOGS - OPERATIONS WITH SALES,,4
UTAH,49,GARFIELD,017,HOGS,"HOGS - SALES, MEASURED IN HEAD",,52
UTAH,49,GARFIELD,017,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,20
UTAH,49,GARFIELD,017,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,652
UTAH,49,GARFIELD,017,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,26
UTAH,49,GARFIELD,017,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,478
UTAH,49,GARFIELD,017,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,3
UTAH,49,GARFIELD,017,CORN,"CORN, SILAGE - ACRES HARVESTED",,61
UTAH,49,GARFIELD,017,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"1,211"
UTAH,49,GARFIELD,017,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,2
UTAH,49,GARFIELD,017,BARLEY,BARLEY - ACRES HARVESTED,,(D)
UTAH,49,GARFIELD,017,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,GARFIELD,017,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,178
UTAH,49,GARFIELD,017,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"12,783"
UTAH,49,GARFIELD,017,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"46,870"
UTAH,49,GARFIELD,017,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,10
UTAH,49,GARFIELD,017,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,14
UTAH,49,GARFIELD,017,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,2
UTAH,49,GARFIELD,017,POTATOES,POTATOES - ACRES HARVESTED,,(D)
UTAH,49,GARFIELD,017,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,2
UTAH,49,GARFIELD,017,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,(D)
UTAH,49,GARFIELD,017,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,286
