state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,GRAND,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,102
UTAH,49,GRAND,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),30
UTAH,49,GRAND,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),20
UTAH,49,GRAND,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),16
UTAH,49,GRAND,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),21
UTAH,49,GRAND,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),6
UTAH,49,GRAND,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",9
UTAH,49,GRAND,019,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"231,361"
UTAH,49,GRAND,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,268"
UTAH,49,GRAND,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,53
UTAH,49,GRAND,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,868,935"
UTAH,49,GRAND,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,824
UTAH,49,GRAND,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"14,196,000"
UTAH,49,GRAND,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"139,177"
UTAH,49,GRAND,019,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,78
UTAH,49,GRAND,019,AG LAND,"AG LAND, CROPLAND - ACRES",,"14,561"
UTAH,49,GRAND,019,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,74
UTAH,49,GRAND,019,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"9,705"
UTAH,49,GRAND,019,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,83
UTAH,49,GRAND,019,AG LAND,"AG LAND, IRRIGATED - ACRES",,"11,498"
UTAH,49,GRAND,019,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"7,170,000"
UTAH,49,GRAND,019,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"70,295"
UTAH,49,GRAND,019,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"4,696,000"
UTAH,49,GRAND,019,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"2,474,000"
UTAH,49,GRAND,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,GRAND,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",38
UTAH,49,GRAND,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",15
UTAH,49,GRAND,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",13
UTAH,49,GRAND,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",10
UTAH,49,GRAND,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",13
UTAH,49,GRAND,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",13
UTAH,49,GRAND,019,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,4
UTAH,49,GRAND,019,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,(D)
UTAH,49,GRAND,019,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,27
UTAH,49,GRAND,019,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"506,000"
UTAH,49,GRAND,019,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"6,694,000"
UTAH,49,GRAND,019,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"65,629"
UTAH,49,GRAND,019,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,102
UTAH,49,GRAND,019,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"1,114,000"
UTAH,49,GRAND,019,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"10,923"
UTAH,49,GRAND,019,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,34
UTAH,49,GRAND,019,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"5,393"
UTAH,49,GRAND,019,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,30
UTAH,49,GRAND,019,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"3,509"
UTAH,49,GRAND,019,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,6
UTAH,49,GRAND,019,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,10
UTAH,49,GRAND,019,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,28
UTAH,49,GRAND,019,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"2,768"
UTAH,49,GRAND,019,HOGS,HOGS - OPERATIONS WITH INVENTORY,,3
UTAH,49,GRAND,019,HOGS,HOGS - INVENTORY,,13
UTAH,49,GRAND,019,HOGS,HOGS - OPERATIONS WITH SALES,,2
UTAH,49,GRAND,019,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
UTAH,49,GRAND,019,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,3
UTAH,49,GRAND,019,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,(D)
UTAH,49,GRAND,019,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,7
UTAH,49,GRAND,019,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,66
UTAH,49,GRAND,019,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
UTAH,49,GRAND,019,CORN,"CORN, GRAIN - ACRES HARVESTED",,(D)
UTAH,49,GRAND,019,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,GRAND,019,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,4
UTAH,49,GRAND,019,CORN,"CORN, SILAGE - ACRES HARVESTED",,350
UTAH,49,GRAND,019,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"7,750"
UTAH,49,GRAND,019,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,58
UTAH,49,GRAND,019,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"9,156"
UTAH,49,GRAND,019,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"31,903"
UTAH,49,GRAND,019,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,14
UTAH,49,GRAND,019,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,165
UTAH,49,GRAND,019,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,3
UTAH,49,GRAND,019,POTATOES,POTATOES - ACRES HARVESTED,,1
UTAH,49,GRAND,019,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,19
UTAH,49,GRAND,019,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,31
UTAH,49,GRAND,019,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,102
