state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,IRON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,486
UTAH,49,IRON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),88
UTAH,49,IRON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),96
UTAH,49,IRON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),104
UTAH,49,IRON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),76
UTAH,49,IRON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),41
UTAH,49,IRON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",81
UTAH,49,IRON,021,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"512,940"
UTAH,49,IRON,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,055"
UTAH,49,IRON,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,102
UTAH,49,IRON,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,063,886"
UTAH,49,IRON,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,955"
UTAH,49,IRON,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"87,234,000"
UTAH,49,IRON,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"179,494"
UTAH,49,IRON,021,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,344
UTAH,49,IRON,021,AG LAND,"AG LAND, CROPLAND - ACRES",,"83,441"
UTAH,49,IRON,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,308
UTAH,49,IRON,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"65,182"
UTAH,49,IRON,021,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,333
UTAH,49,IRON,021,AG LAND,"AG LAND, IRRIGATED - ACRES",,"64,380"
UTAH,49,IRON,021,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"133,512,000"
