state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,JUAB,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,292
UTAH,49,JUAB,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),30
UTAH,49,JUAB,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),51
UTAH,49,JUAB,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),97
UTAH,49,JUAB,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),47
UTAH,49,JUAB,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),24
UTAH,49,JUAB,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",43
UTAH,49,JUAB,023,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"264,644"
UTAH,49,JUAB,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,906
UTAH,49,JUAB,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,107
UTAH,49,JUAB,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,202,491"
UTAH,49,JUAB,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,327"
UTAH,49,JUAB,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"35,770,000"
UTAH,49,JUAB,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"122,499"
UTAH,49,JUAB,023,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,240
UTAH,49,JUAB,023,AG LAND,"AG LAND, CROPLAND - ACRES",,"56,608"
UTAH,49,JUAB,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,181
UTAH,49,JUAB,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"27,013"
UTAH,49,JUAB,023,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,179
UTAH,49,JUAB,023,AG LAND,"AG LAND, IRRIGATED - ACRES",,"23,731"
UTAH,49,JUAB,023,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"53,679,000"
UTAH,49,JUAB,023,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"183,831"
UTAH,49,JUAB,023,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"30,741,000"
UTAH,49,JUAB,023,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"22,938,000"
UTAH,49,JUAB,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,JUAB,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",92
UTAH,49,JUAB,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",17
UTAH,49,JUAB,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",34
UTAH,49,JUAB,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",49
UTAH,49,JUAB,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",38
UTAH,49,JUAB,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",20
UTAH,49,JUAB,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",42
UTAH,49,JUAB,023,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,100
UTAH,49,JUAB,023,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"933,000"
UTAH,49,JUAB,023,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,105
UTAH,49,JUAB,023,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"1,131,000"
UTAH,49,JUAB,023,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"40,245,000"
UTAH,49,JUAB,023,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"137,824"
UTAH,49,JUAB,023,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,292
UTAH,49,JUAB,023,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"15,498,000"
UTAH,49,JUAB,023,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"53,075"
UTAH,49,JUAB,023,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,137
UTAH,49,JUAB,023,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"19,494"
UTAH,49,JUAB,023,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,123
UTAH,49,JUAB,023,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
UTAH,49,JUAB,023,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,2
UTAH,49,JUAB,023,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
UTAH,49,JUAB,023,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,106
UTAH,49,JUAB,023,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"9,379"
UTAH,49,JUAB,023,HOGS,HOGS - OPERATIONS WITH INVENTORY,,4
UTAH,49,JUAB,023,HOGS,HOGS - INVENTORY,,13
UTAH,49,JUAB,023,HOGS,HOGS - OPERATIONS WITH SALES,,5
UTAH,49,JUAB,023,HOGS,"HOGS - SALES, MEASURED IN HEAD",,13
UTAH,49,JUAB,023,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,25
UTAH,49,JUAB,023,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"9,376"
UTAH,49,JUAB,023,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,11
UTAH,49,JUAB,023,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,137
UTAH,49,JUAB,023,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,11
UTAH,49,JUAB,023,CORN,"CORN, GRAIN - ACRES HARVESTED",,735
UTAH,49,JUAB,023,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"115,762"
UTAH,49,JUAB,023,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,12
UTAH,49,JUAB,023,CORN,"CORN, SILAGE - ACRES HARVESTED",,"1,889"
UTAH,49,JUAB,023,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"44,174"
UTAH,49,JUAB,023,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,19
UTAH,49,JUAB,023,WHEAT,WHEAT - ACRES HARVESTED,,"3,902"
UTAH,49,JUAB,023,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"115,964"
UTAH,49,JUAB,023,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,3
UTAH,49,JUAB,023,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
UTAH,49,JUAB,023,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,JUAB,023,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,18
UTAH,49,JUAB,023,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
UTAH,49,JUAB,023,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,JUAB,023,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,2
UTAH,49,JUAB,023,OATS,OATS - ACRES HARVESTED,,(D)
UTAH,49,JUAB,023,OATS,"OATS - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,JUAB,023,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,7
UTAH,49,JUAB,023,BARLEY,BARLEY - ACRES HARVESTED,,466
UTAH,49,JUAB,023,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"36,268"
UTAH,49,JUAB,023,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,174
UTAH,49,JUAB,023,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"19,425"
UTAH,49,JUAB,023,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"83,935"
