state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,KANE,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,182
UTAH,49,KANE,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),29
UTAH,49,KANE,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),46
UTAH,49,KANE,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),26
UTAH,49,KANE,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),28
UTAH,49,KANE,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),22
UTAH,49,KANE,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",31
UTAH,49,KANE,025,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"128,697"
UTAH,49,KANE,025,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,707
UTAH,49,KANE,025,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,126
UTAH,49,KANE,025,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,282,578"
UTAH,49,KANE,025,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,814"
UTAH,49,KANE,025,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"14,623,000"
UTAH,49,KANE,025,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"80,345"
UTAH,49,KANE,025,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,99
UTAH,49,KANE,025,AG LAND,"AG LAND, CROPLAND - ACRES",,"4,862"
UTAH,49,KANE,025,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,93
UTAH,49,KANE,025,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"3,384"
UTAH,49,KANE,025,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,117
UTAH,49,KANE,025,AG LAND,"AG LAND, IRRIGATED - ACRES",,"6,896"
UTAH,49,KANE,025,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"6,267,000"
UTAH,49,KANE,025,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"34,437"
UTAH,49,KANE,025,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"739,000"
UTAH,49,KANE,025,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"5,529,000"
UTAH,49,KANE,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,KANE,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",49
UTAH,49,KANE,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",20
UTAH,49,KANE,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",15
UTAH,49,KANE,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",42
UTAH,49,KANE,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",23
UTAH,49,KANE,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",24
UTAH,49,KANE,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",9
UTAH,49,KANE,025,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,5
UTAH,49,KANE,025,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"56,000"
UTAH,49,KANE,025,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,54
UTAH,49,KANE,025,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"379,000"
UTAH,49,KANE,025,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"6,448,000"
UTAH,49,KANE,025,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"35,427"
UTAH,49,KANE,025,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,182
UTAH,49,KANE,025,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"254,000"
UTAH,49,KANE,025,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"1,396"
