state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,MILLARD,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,654
UTAH,49,MILLARD,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),66
UTAH,49,MILLARD,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),117
UTAH,49,MILLARD,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),134
UTAH,49,MILLARD,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),152
UTAH,49,MILLARD,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),65
UTAH,49,MILLARD,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",120
UTAH,49,MILLARD,027,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"481,539"
UTAH,49,MILLARD,027,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,736
UTAH,49,MILLARD,027,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,200
UTAH,49,MILLARD,027,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,504,464"
UTAH,49,MILLARD,027,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,043"
UTAH,49,MILLARD,027,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"154,507,000"
UTAH,49,MILLARD,027,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"236,249"
UTAH,49,MILLARD,027,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,516
UTAH,49,MILLARD,027,AG LAND,"AG LAND, CROPLAND - ACRES",,"145,965"
UTAH,49,MILLARD,027,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,432
UTAH,49,MILLARD,027,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"112,567"
UTAH,49,MILLARD,027,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,473
UTAH,49,MILLARD,027,AG LAND,"AG LAND, IRRIGATED - ACRES",,"122,680"
UTAH,49,MILLARD,027,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"179,959,000"
UTAH,49,MILLARD,027,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"275,167"
UTAH,49,MILLARD,027,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"85,460,000"
UTAH,49,MILLARD,027,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"94,500,000"
UTAH,49,MILLARD,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,MILLARD,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",184
UTAH,49,MILLARD,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",19
UTAH,49,MILLARD,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",24
UTAH,49,MILLARD,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",112
UTAH,49,MILLARD,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",77
UTAH,49,MILLARD,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",74
UTAH,49,MILLARD,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",164
UTAH,49,MILLARD,027,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,260
UTAH,49,MILLARD,027,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"3,031,000"
UTAH,49,MILLARD,027,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,240
UTAH,49,MILLARD,027,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"4,329,000"
UTAH,49,MILLARD,027,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"150,928,000"
UTAH,49,MILLARD,027,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"230,777"
UTAH,49,MILLARD,027,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,654
UTAH,49,MILLARD,027,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"36,391,000"
UTAH,49,MILLARD,027,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"55,643"
UTAH,49,MILLARD,027,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,275
UTAH,49,MILLARD,027,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"56,875"
UTAH,49,MILLARD,027,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,231
UTAH,49,MILLARD,027,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"18,754"
UTAH,49,MILLARD,027,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,20
UTAH,49,MILLARD,027,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"12,299"
UTAH,49,MILLARD,027,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,247
UTAH,49,MILLARD,027,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"26,618"
UTAH,49,MILLARD,027,HOGS,HOGS - OPERATIONS WITH INVENTORY,,16
UTAH,49,MILLARD,027,HOGS,HOGS - INVENTORY,,238
UTAH,49,MILLARD,027,HOGS,HOGS - OPERATIONS WITH SALES,,8
UTAH,49,MILLARD,027,HOGS,"HOGS - SALES, MEASURED IN HEAD",,300
UTAH,49,MILLARD,027,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,45
UTAH,49,MILLARD,027,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"2,500"
UTAH,49,MILLARD,027,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,46
UTAH,49,MILLARD,027,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,(D)
UTAH,49,MILLARD,027,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,35
UTAH,49,MILLARD,027,CORN,"CORN, GRAIN - ACRES HARVESTED",,"6,027"
UTAH,49,MILLARD,027,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"1,158,068"
UTAH,49,MILLARD,027,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,72
UTAH,49,MILLARD,027,CORN,"CORN, SILAGE - ACRES HARVESTED",,"8,958"
UTAH,49,MILLARD,027,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"199,088"
UTAH,49,MILLARD,027,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,60
UTAH,49,MILLARD,027,WHEAT,WHEAT - ACRES HARVESTED,,"6,097"
UTAH,49,MILLARD,027,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"567,576"
UTAH,49,MILLARD,027,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,29
UTAH,49,MILLARD,027,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"2,467"
UTAH,49,MILLARD,027,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"190,508"
UTAH,49,MILLARD,027,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,32
UTAH,49,MILLARD,027,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"3,630"
UTAH,49,MILLARD,027,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"377,068"
UTAH,49,MILLARD,027,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,3
UTAH,49,MILLARD,027,OATS,OATS - ACRES HARVESTED,,97
UTAH,49,MILLARD,027,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"10,000"
UTAH,49,MILLARD,027,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,30
UTAH,49,MILLARD,027,BARLEY,BARLEY - ACRES HARVESTED,,"3,246"
UTAH,49,MILLARD,027,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"292,195"
UTAH,49,MILLARD,027,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,3
UTAH,49,MILLARD,027,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,92
UTAH,49,MILLARD,027,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,750
UTAH,49,MILLARD,027,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,404
UTAH,49,MILLARD,027,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"81,658"
UTAH,49,MILLARD,027,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"384,539"
UTAH,49,MILLARD,027,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,8
UTAH,49,MILLARD,027,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,(D)
UTAH,49,MILLARD,027,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,654
