state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,MORGAN,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,372
UTAH,49,MORGAN,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),101
UTAH,49,MORGAN,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),135
UTAH,49,MORGAN,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),69
UTAH,49,MORGAN,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),27
UTAH,49,MORGAN,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),13
UTAH,49,MORGAN,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",27
UTAH,49,MORGAN,029,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"242,666"
UTAH,49,MORGAN,029,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,652
UTAH,49,MORGAN,029,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,21
UTAH,49,MORGAN,029,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,434,803"
UTAH,49,MORGAN,029,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,200"
UTAH,49,MORGAN,029,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"26,206,000"
UTAH,49,MORGAN,029,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"70,446"
UTAH,49,MORGAN,029,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,263
UTAH,49,MORGAN,029,AG LAND,"AG LAND, CROPLAND - ACRES",,"16,629"
UTAH,49,MORGAN,029,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,240
UTAH,49,MORGAN,029,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"12,636"
UTAH,49,MORGAN,029,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,238
UTAH,49,MORGAN,029,AG LAND,"AG LAND, IRRIGATED - ACRES",,"9,023"
UTAH,49,MORGAN,029,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"17,129,000"
UTAH,49,MORGAN,029,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"46,047"
UTAH,49,MORGAN,029,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"2,470,000"
UTAH,49,MORGAN,029,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"14,659,000"
UTAH,49,MORGAN,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,MORGAN,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",167
UTAH,49,MORGAN,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",54
UTAH,49,MORGAN,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",47
UTAH,49,MORGAN,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",32
