state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,PIUTE,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,104
UTAH,49,PIUTE,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),10
UTAH,49,PIUTE,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),23
UTAH,49,PIUTE,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),28
UTAH,49,PIUTE,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),14
UTAH,49,PIUTE,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),12
UTAH,49,PIUTE,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",17
UTAH,49,PIUTE,031,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"54,445"
UTAH,49,PIUTE,031,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,524
UTAH,49,PIUTE,031,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,135
UTAH,49,PIUTE,031,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,089,630"
UTAH,49,PIUTE,031,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,081"
UTAH,49,PIUTE,031,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"13,037,000"
UTAH,49,PIUTE,031,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"125,352"
UTAH,49,PIUTE,031,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,75
UTAH,49,PIUTE,031,AG LAND,"AG LAND, CROPLAND - ACRES",,"14,909"
UTAH,49,PIUTE,031,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,65
UTAH,49,PIUTE,031,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"11,308"
UTAH,49,PIUTE,031,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,87
UTAH,49,PIUTE,031,AG LAND,"AG LAND, IRRIGATED - ACRES",,"15,340"
UTAH,49,PIUTE,031,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"40,605,000"
UTAH,49,PIUTE,031,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"390,433"
UTAH,49,PIUTE,031,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,445,000"
UTAH,49,PIUTE,031,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"37,160,000"
UTAH,49,PIUTE,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,PIUTE,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",27
UTAH,49,PIUTE,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",3
UTAH,49,PIUTE,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",9
UTAH,49,PIUTE,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",11
UTAH,49,PIUTE,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",10
UTAH,49,PIUTE,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",15
UTAH,49,PIUTE,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",29
UTAH,49,PIUTE,031,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,8
UTAH,49,PIUTE,031,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"68,000"
UTAH,49,PIUTE,031,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,27
UTAH,49,PIUTE,031,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"314,000"
UTAH,49,PIUTE,031,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"25,700,000"
UTAH,49,PIUTE,031,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"247,111"
UTAH,49,PIUTE,031,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,104
UTAH,49,PIUTE,031,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"15,288,000"
