state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,SAN JUAN,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,823
UTAH,49,SAN JUAN,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),325
UTAH,49,SAN JUAN,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),107
UTAH,49,SAN JUAN,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),150
UTAH,49,SAN JUAN,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),99
UTAH,49,SAN JUAN,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),35
UTAH,49,SAN JUAN,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",107
UTAH,49,SAN JUAN,037,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,657,212"
UTAH,49,SAN JUAN,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,014"
UTAH,49,SAN JUAN,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,40
UTAH,49,SAN JUAN,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"738,348"
UTAH,49,SAN JUAN,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,367
UTAH,49,SAN JUAN,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"39,838,000"
UTAH,49,SAN JUAN,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"48,406"
UTAH,49,SAN JUAN,037,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,366
UTAH,49,SAN JUAN,037,AG LAND,"AG LAND, CROPLAND - ACRES",,"130,173"
UTAH,49,SAN JUAN,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,157
UTAH,49,SAN JUAN,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"44,614"
UTAH,49,SAN JUAN,037,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,128
UTAH,49,SAN JUAN,037,AG LAND,"AG LAND, IRRIGATED - ACRES",,"7,571"
UTAH,49,SAN JUAN,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"16,776,000"
UTAH,49,SAN JUAN,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"20,383"
UTAH,49,SAN JUAN,037,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"8,598,000"
UTAH,49,SAN JUAN,037,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"8,177,000"
UTAH,49,SAN JUAN,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,SAN JUAN,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",593
UTAH,49,SAN JUAN,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",44
UTAH,49,SAN JUAN,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",77
UTAH,49,SAN JUAN,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",46
UTAH,49,SAN JUAN,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",13
UTAH,49,SAN JUAN,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",13
UTAH,49,SAN JUAN,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",37
UTAH,49,SAN JUAN,037,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,119
UTAH,49,SAN JUAN,037,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"1,636,000"
UTAH,49,SAN JUAN,037,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,79
UTAH,49,SAN JUAN,037,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"767,000"
UTAH,49,SAN JUAN,037,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"16,636,000"
UTAH,49,SAN JUAN,037,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"20,214"
UTAH,49,SAN JUAN,037,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,823
UTAH,49,SAN JUAN,037,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"2,543,000"
UTAH,49,SAN JUAN,037,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"3,090"
UTAH,49,SAN JUAN,037,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,307
UTAH,49,SAN JUAN,037,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"14,591"
UTAH,49,SAN JUAN,037,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,257
UTAH,49,SAN JUAN,037,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"9,381"
UTAH,49,SAN JUAN,037,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,3
UTAH,49,SAN JUAN,037,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,7
UTAH,49,SAN JUAN,037,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,148
UTAH,49,SAN JUAN,037,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"8,629"
UTAH,49,SAN JUAN,037,HOGS,HOGS - OPERATIONS WITH INVENTORY,,12
UTAH,49,SAN JUAN,037,HOGS,HOGS - INVENTORY,,72
UTAH,49,SAN JUAN,037,HOGS,HOGS - OPERATIONS WITH SALES,,12
UTAH,49,SAN JUAN,037,HOGS,"HOGS - SALES, MEASURED IN HEAD",,251
UTAH,49,SAN JUAN,037,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,413
UTAH,49,SAN JUAN,037,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"8,269"
UTAH,49,SAN JUAN,037,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,71
UTAH,49,SAN JUAN,037,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,668
UTAH,49,SAN JUAN,037,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
UTAH,49,SAN JUAN,037,CORN,"CORN, GRAIN - ACRES HARVESTED",,(D)
UTAH,49,SAN JUAN,037,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,SAN JUAN,037,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,37
UTAH,49,SAN JUAN,037,WHEAT,WHEAT - ACRES HARVESTED,,"34,692"
UTAH,49,SAN JUAN,037,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"771,856"
UTAH,49,SAN JUAN,037,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,4
UTAH,49,SAN JUAN,037,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,928
UTAH,49,SAN JUAN,037,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"48,320"
UTAH,49,SAN JUAN,037,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,35
UTAH,49,SAN JUAN,037,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"33,764"
UTAH,49,SAN JUAN,037,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"723,536"
