state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,SEVIER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,691
UTAH,49,SEVIER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),230
UTAH,49,SEVIER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),237
UTAH,49,SEVIER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),125
UTAH,49,SEVIER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),49
UTAH,49,SEVIER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),30
UTAH,49,SEVIER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",20
UTAH,49,SEVIER,041,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"108,992"
UTAH,49,SEVIER,041,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,158
UTAH,49,SEVIER,041,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,20
UTAH,49,SEVIER,041,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"675,452"
UTAH,49,SEVIER,041,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,282"
UTAH,49,SEVIER,041,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"81,845,000"
UTAH,49,SEVIER,041,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"118,445"
UTAH,49,SEVIER,041,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,496
UTAH,49,SEVIER,041,AG LAND,"AG LAND, CROPLAND - ACRES",,"50,453"
UTAH,49,SEVIER,041,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,434
UTAH,49,SEVIER,041,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"40,129"
UTAH,49,SEVIER,041,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,569
UTAH,49,SEVIER,041,AG LAND,"AG LAND, IRRIGATED - ACRES",,"49,440"
UTAH,49,SEVIER,041,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"88,546,000"
UTAH,49,SEVIER,041,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"128,141"
UTAH,49,SEVIER,041,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"21,528,000"
UTAH,49,SEVIER,041,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"67,017,000"
UTAH,49,SEVIER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,SEVIER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",316
UTAH,49,SEVIER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",67
UTAH,49,SEVIER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",74
UTAH,49,SEVIER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",78
UTAH,49,SEVIER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",45
UTAH,49,SEVIER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",24
UTAH,49,SEVIER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",87
UTAH,49,SEVIER,041,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,70
UTAH,49,SEVIER,041,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"432,000"
UTAH,49,SEVIER,041,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,202
UTAH,49,SEVIER,041,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"2,220,000"
UTAH,49,SEVIER,041,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"70,688,000"
UTAH,49,SEVIER,041,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"102,298"
UTAH,49,SEVIER,041,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,691
UTAH,49,SEVIER,041,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"20,510,000"
UTAH,49,SEVIER,041,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"29,681"
UTAH,49,SEVIER,041,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,276
UTAH,49,SEVIER,041,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"47,169"
UTAH,49,SEVIER,041,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,213
UTAH,49,SEVIER,041,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"13,210"
UTAH,49,SEVIER,041,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,14
UTAH,49,SEVIER,041,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"4,605"
UTAH,49,SEVIER,041,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,216
UTAH,49,SEVIER,041,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"50,198"
UTAH,49,SEVIER,041,HOGS,HOGS - OPERATIONS WITH INVENTORY,,33
UTAH,49,SEVIER,041,HOGS,HOGS - INVENTORY,,407
UTAH,49,SEVIER,041,HOGS,HOGS - OPERATIONS WITH SALES,,30
UTAH,49,SEVIER,041,HOGS,"HOGS - SALES, MEASURED IN HEAD",,934
UTAH,49,SEVIER,041,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,68
UTAH,49,SEVIER,041,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"3,826"
UTAH,49,SEVIER,041,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,108
UTAH,49,SEVIER,041,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"3,438"
UTAH,49,SEVIER,041,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,9
UTAH,49,SEVIER,041,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,596
UTAH,49,SEVIER,041,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,27
UTAH,49,SEVIER,041,CORN,"CORN, GRAIN - ACRES HARVESTED",,"2,249"
UTAH,49,SEVIER,041,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"380,057"
UTAH,49,SEVIER,041,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,57
UTAH,49,SEVIER,041,CORN,"CORN, SILAGE - ACRES HARVESTED",,"5,247"
UTAH,49,SEVIER,041,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"117,749"
UTAH,49,SEVIER,041,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,1
UTAH,49,SEVIER,041,WHEAT,WHEAT - ACRES HARVESTED,,(D)
UTAH,49,SEVIER,041,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,SEVIER,041,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,1
UTAH,49,SEVIER,041,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
UTAH,49,SEVIER,041,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,SEVIER,041,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,1
UTAH,49,SEVIER,041,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
UTAH,49,SEVIER,041,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,SEVIER,041,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,3
UTAH,49,SEVIER,041,BARLEY,BARLEY - ACRES HARVESTED,,114
UTAH,49,SEVIER,041,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"8,240"
