state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,SUMMIT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,626
UTAH,49,SUMMIT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),214
UTAH,49,SUMMIT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),209
UTAH,49,SUMMIT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),90
UTAH,49,SUMMIT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),58
UTAH,49,SUMMIT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),21
UTAH,49,SUMMIT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",34
UTAH,49,SUMMIT,043,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"295,588"
UTAH,49,SUMMIT,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,472
UTAH,49,SUMMIT,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,20
UTAH,49,SUMMIT,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,541,565"
UTAH,49,SUMMIT,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,265"
UTAH,49,SUMMIT,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"44,688,000"
UTAH,49,SUMMIT,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"71,386"
UTAH,49,SUMMIT,043,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,378
UTAH,49,SUMMIT,043,AG LAND,"AG LAND, CROPLAND - ACRES",,"26,278"
UTAH,49,SUMMIT,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,346
UTAH,49,SUMMIT,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"18,616"
UTAH,49,SUMMIT,043,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,452
UTAH,49,SUMMIT,043,AG LAND,"AG LAND, IRRIGATED - ACRES",,"21,298"
UTAH,49,SUMMIT,043,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"25,540,000"
UTAH,49,SUMMIT,043,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"40,798"
UTAH,49,SUMMIT,043,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"4,099,000"
UTAH,49,SUMMIT,043,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"21,441,000"
UTAH,49,SUMMIT,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,SUMMIT,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",244
UTAH,49,SUMMIT,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",78
UTAH,49,SUMMIT,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",88
UTAH,49,SUMMIT,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",81
UTAH,49,SUMMIT,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",46
UTAH,49,SUMMIT,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",38
UTAH,49,SUMMIT,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",51
UTAH,49,SUMMIT,043,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,31
UTAH,49,SUMMIT,043,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"833,000"
UTAH,49,SUMMIT,043,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,238
UTAH,49,SUMMIT,043,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"3,749,000"
UTAH,49,SUMMIT,043,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"24,006,000"
UTAH,49,SUMMIT,043,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"38,349"
UTAH,49,SUMMIT,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,626
UTAH,49,SUMMIT,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"6,115,000"
UTAH,49,SUMMIT,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"9,769"
UTAH,49,SUMMIT,043,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,276
UTAH,49,SUMMIT,043,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"18,707"
UTAH,49,SUMMIT,043,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,211
UTAH,49,SUMMIT,043,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"9,279"
UTAH,49,SUMMIT,043,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,8
UTAH,49,SUMMIT,043,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,852
UTAH,49,SUMMIT,043,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,247
UTAH,49,SUMMIT,043,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"12,846"
