state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,TOOELE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,540
UTAH,49,TOOELE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),228
UTAH,49,TOOELE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),114
UTAH,49,TOOELE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),92
UTAH,49,TOOELE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),33
UTAH,49,TOOELE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),32
UTAH,49,TOOELE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",41
UTAH,49,TOOELE,045,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"348,934"
UTAH,49,TOOELE,045,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,646
UTAH,49,TOOELE,045,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,20
UTAH,49,TOOELE,045,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"888,625"
UTAH,49,TOOELE,045,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,375"
UTAH,49,TOOELE,045,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"48,545,000"
UTAH,49,TOOELE,045,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"89,898"
UTAH,49,TOOELE,045,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,276
UTAH,49,TOOELE,045,AG LAND,"AG LAND, CROPLAND - ACRES",,"21,726"
UTAH,49,TOOELE,045,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,214
UTAH,49,TOOELE,045,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"16,663"
UTAH,49,TOOELE,045,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,277
UTAH,49,TOOELE,045,AG LAND,"AG LAND, IRRIGATED - ACRES",,"21,894"
UTAH,49,TOOELE,045,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"40,753,000"
UTAH,49,TOOELE,045,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"75,468"
UTAH,49,TOOELE,045,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"6,497,000"
UTAH,49,TOOELE,045,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"34,256,000"
UTAH,49,TOOELE,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,TOOELE,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",274
UTAH,49,TOOELE,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",62
UTAH,49,TOOELE,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",65
UTAH,49,TOOELE,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",50
UTAH,49,TOOELE,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",15
UTAH,49,TOOELE,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",33
UTAH,49,TOOELE,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",41
UTAH,49,TOOELE,045,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,14
UTAH,49,TOOELE,045,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"406,000"
UTAH,49,TOOELE,045,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,106
UTAH,49,TOOELE,045,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"3,625,000"
UTAH,49,TOOELE,045,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"40,431,000"
UTAH,49,TOOELE,045,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"74,872"
UTAH,49,TOOELE,045,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,540
UTAH,49,TOOELE,045,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"4,353,000"
UTAH,49,TOOELE,045,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"8,061"
UTAH,49,TOOELE,045,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,262
