state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,UINTAH,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,114"
UTAH,49,UINTAH,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),237
UTAH,49,UINTAH,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),395
UTAH,49,UINTAH,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),244
UTAH,49,UINTAH,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),114
UTAH,49,UINTAH,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),54
UTAH,49,UINTAH,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",70
UTAH,49,UINTAH,047,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,824,700"
UTAH,49,UINTAH,047,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,638"
UTAH,49,UINTAH,047,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,35
UTAH,49,UINTAH,047,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,032,638"
UTAH,49,UINTAH,047,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,630
UTAH,49,UINTAH,047,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"98,322,000"
UTAH,49,UINTAH,047,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"88,260"
UTAH,49,UINTAH,047,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,722
UTAH,49,UINTAH,047,AG LAND,"AG LAND, CROPLAND - ACRES",,"70,742"
UTAH,49,UINTAH,047,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,640
UTAH,49,UINTAH,047,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"47,696"
UTAH,49,UINTAH,047,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,876
UTAH,49,UINTAH,047,AG LAND,"AG LAND, IRRIGATED - ACRES",,"65,306"
UTAH,49,UINTAH,047,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"42,268,000"
UTAH,49,UINTAH,047,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"37,943"
UTAH,49,UINTAH,047,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"16,333,000"
UTAH,49,UINTAH,047,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"25,935,000"
UTAH,49,UINTAH,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,UINTAH,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",425
UTAH,49,UINTAH,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",151
UTAH,49,UINTAH,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",154
UTAH,49,UINTAH,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",170
UTAH,49,UINTAH,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",88
UTAH,49,UINTAH,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",58
UTAH,49,UINTAH,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",68
UTAH,49,UINTAH,047,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,71
UTAH,49,UINTAH,047,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"1,402,000"
UTAH,49,UINTAH,047,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,228
