state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,UTAH,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"2,589"
UTAH,49,UTAH,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),"1,383"
UTAH,49,UTAH,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),745
UTAH,49,UTAH,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),257
UTAH,49,UTAH,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),114
UTAH,49,UTAH,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),42
UTAH,49,UTAH,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",48
UTAH,49,UTAH,049,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"303,795"
UTAH,49,UTAH,049,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,117
UTAH,49,UTAH,049,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,9
UTAH,49,UTAH,049,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,024,882"
UTAH,49,UTAH,049,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"8,734"
UTAH,49,UTAH,049,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"192,340,000"
UTAH,49,UTAH,049,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"74,291"
UTAH,49,UTAH,049,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,"1,871"
UTAH,49,UTAH,049,AG LAND,"AG LAND, CROPLAND - ACRES",,"118,125"
UTAH,49,UTAH,049,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,"1,687"
UTAH,49,UTAH,049,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"73,397"
UTAH,49,UTAH,049,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,"2,026"
UTAH,49,UTAH,049,AG LAND,"AG LAND, IRRIGATED - ACRES",,"72,669"
UTAH,49,UTAH,049,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"202,580,000"
UTAH,49,UTAH,049,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"78,246"
UTAH,49,UTAH,049,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"79,793,000"
UTAH,49,UTAH,049,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"122,787,000"
UTAH,49,UTAH,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,UTAH,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)","1,316"
UTAH,49,UTAH,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",329
UTAH,49,UTAH,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",319
UTAH,49,UTAH,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",240
UTAH,49,UTAH,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",151
UTAH,49,UTAH,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",99
UTAH,49,UTAH,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",135
UTAH,49,UTAH,049,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,148
UTAH,49,UTAH,049,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"1,679,000"
UTAH,49,UTAH,049,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,625
UTAH,49,UTAH,049,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"7,796,000"
UTAH,49,UTAH,049,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"183,151,000"
UTAH,49,UTAH,049,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"70,742"
UTAH,49,UTAH,049,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,"2,589"
UTAH,49,UTAH,049,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"28,904,000"
UTAH,49,UTAH,049,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"11,164"
UTAH,49,UTAH,049,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,983
UTAH,49,UTAH,049,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"54,299"
UTAH,49,UTAH,049,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,734
UTAH,49,UTAH,049,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"17,050"
UTAH,49,UTAH,049,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,74
UTAH,49,UTAH,049,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"15,337"
UTAH,49,UTAH,049,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,720
UTAH,49,UTAH,049,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"30,191"
UTAH,49,UTAH,049,HOGS,HOGS - OPERATIONS WITH INVENTORY,,86
UTAH,49,UTAH,049,HOGS,HOGS - INVENTORY,,"1,060"
UTAH,49,UTAH,049,HOGS,HOGS - OPERATIONS WITH SALES,,103
UTAH,49,UTAH,049,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"1,973"
UTAH,49,UTAH,049,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,190
UTAH,49,UTAH,049,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"9,484"
UTAH,49,UTAH,049,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,393
UTAH,49,UTAH,049,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,(D)
UTAH,49,UTAH,049,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,12
UTAH,49,UTAH,049,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,214
UTAH,49,UTAH,049,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,50
UTAH,49,UTAH,049,CORN,"CORN, GRAIN - ACRES HARVESTED",,"2,738"
UTAH,49,UTAH,049,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"492,105"
UTAH,49,UTAH,049,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,41
UTAH,49,UTAH,049,CORN,"CORN, SILAGE - ACRES HARVESTED",,"8,163"
UTAH,49,UTAH,049,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"207,998"
UTAH,49,UTAH,049,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,56
UTAH,49,UTAH,049,WHEAT,WHEAT - ACRES HARVESTED,,"13,093"
UTAH,49,UTAH,049,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"500,481"
UTAH,49,UTAH,049,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,2
UTAH,49,UTAH,049,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
UTAH,49,UTAH,049,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,UTAH,049,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,56
UTAH,49,UTAH,049,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
UTAH,49,UTAH,049,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,UTAH,049,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,12
UTAH,49,UTAH,049,OATS,OATS - ACRES HARVESTED,,288
UTAH,49,UTAH,049,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"28,512"
UTAH,49,UTAH,049,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,81
UTAH,49,UTAH,049,BARLEY,BARLEY - ACRES HARVESTED,,"1,706"
UTAH,49,UTAH,049,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"116,226"
UTAH,49,UTAH,049,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,"1,482"
UTAH,49,UTAH,049,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"39,125"
UTAH,49,UTAH,049,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"146,505"
UTAH,49,UTAH,049,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,1
UTAH,49,UTAH,049,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,(D)
UTAH,49,UTAH,049,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,(D)
UTAH,49,UTAH,049,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,84
UTAH,49,UTAH,049,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,305
UTAH,49,UTAH,049,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,14
UTAH,49,UTAH,049,POTATOES,POTATOES - ACRES HARVESTED,,16
UTAH,49,UTAH,049,SWEET POTATOES,SWEET POTATOES - OPERATIONS WITH AREA HARVESTED,,3
UTAH,49,UTAH,049,SWEET POTATOES,SWEET POTATOES - ACRES HARVESTED,,(D)
UTAH,49,UTAH,049,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,157
UTAH,49,UTAH,049,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,"6,655"
UTAH,49,UTAH,049,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,"2,589"
