state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,WASATCH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,475
UTAH,49,WASATCH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),217
UTAH,49,WASATCH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),174
UTAH,49,WASATCH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),57
UTAH,49,WASATCH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),13
UTAH,49,WASATCH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),5
UTAH,49,WASATCH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",9
UTAH,49,WASATCH,051,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"97,098"
UTAH,49,WASATCH,051,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,204
UTAH,49,WASATCH,051,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,10
UTAH,49,WASATCH,051,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,135,964"
UTAH,49,WASATCH,051,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"5,557"
UTAH,49,WASATCH,051,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"29,826,000"
UTAH,49,WASATCH,051,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"62,791"
UTAH,49,WASATCH,051,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,341
UTAH,49,WASATCH,051,AG LAND,"AG LAND, CROPLAND - ACRES",,"8,845"
UTAH,49,WASATCH,051,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,325
UTAH,49,WASATCH,051,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"7,836"
UTAH,49,WASATCH,051,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,411
UTAH,49,WASATCH,051,AG LAND,"AG LAND, IRRIGATED - ACRES",,"11,252"
UTAH,49,WASATCH,051,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"8,802,000"
UTAH,49,WASATCH,051,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"18,530"
UTAH,49,WASATCH,051,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"1,892,000"
UTAH,49,WASATCH,051,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"6,910,000"
UTAH,49,WASATCH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,WASATCH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",258
UTAH,49,WASATCH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",64
UTAH,49,WASATCH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",62
UTAH,49,WASATCH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",51
UTAH,49,WASATCH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",11
UTAH,49,WASATCH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",15
UTAH,49,WASATCH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",14
UTAH,49,WASATCH,051,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,10
UTAH,49,WASATCH,051,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"102,000"
UTAH,49,WASATCH,051,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,85
UTAH,49,WASATCH,051,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"330,000"
UTAH,49,WASATCH,051,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"11,275,000"
UTAH,49,WASATCH,051,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"23,737"
UTAH,49,WASATCH,051,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,475
UTAH,49,WASATCH,051,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"-2,041,000"
UTAH,49,WASATCH,051,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"-4,298"
UTAH,49,WASATCH,051,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,150
UTAH,49,WASATCH,051,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"7,325"
UTAH,49,WASATCH,051,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,133
UTAH,49,WASATCH,051,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"4,987"
UTAH,49,WASATCH,051,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,7
UTAH,49,WASATCH,051,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,662
UTAH,49,WASATCH,051,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,127
