state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,WASHINGTON,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,537
UTAH,49,WASHINGTON,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),200
UTAH,49,WASHINGTON,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),125
UTAH,49,WASHINGTON,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),101
UTAH,49,WASHINGTON,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),54
UTAH,49,WASHINGTON,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),26
UTAH,49,WASHINGTON,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",31
UTAH,49,WASHINGTON,053,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"155,047"
UTAH,49,WASHINGTON,053,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,289
UTAH,49,WASHINGTON,053,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,23
UTAH,49,WASHINGTON,053,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,078,856"
UTAH,49,WASHINGTON,053,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,737"
UTAH,49,WASHINGTON,053,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"32,933,000"
UTAH,49,WASHINGTON,053,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"61,328"
UTAH,49,WASHINGTON,053,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,294
UTAH,49,WASHINGTON,053,AG LAND,"AG LAND, CROPLAND - ACRES",,"22,347"
UTAH,49,WASHINGTON,053,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,235
UTAH,49,WASHINGTON,053,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"9,231"
UTAH,49,WASHINGTON,053,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,310
UTAH,49,WASHINGTON,053,AG LAND,"AG LAND, IRRIGATED - ACRES",,"12,984"
UTAH,49,WASHINGTON,053,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"16,458,000"
UTAH,49,WASHINGTON,053,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"30,647"
UTAH,49,WASHINGTON,053,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"6,463,000"
UTAH,49,WASHINGTON,053,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"9,995,000"
UTAH,49,WASHINGTON,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
UTAH,49,WASHINGTON,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",264
UTAH,49,WASHINGTON,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",49
UTAH,49,WASHINGTON,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",68
UTAH,49,WASHINGTON,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",71
UTAH,49,WASHINGTON,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",30
UTAH,49,WASHINGTON,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",24
UTAH,49,WASHINGTON,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",31
UTAH,49,WASHINGTON,053,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,17
UTAH,49,WASHINGTON,053,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"190,000"
UTAH,49,WASHINGTON,053,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,141
UTAH,49,WASHINGTON,053,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"1,470,000"
UTAH,49,WASHINGTON,053,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"22,100,000"
UTAH,49,WASHINGTON,053,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"41,154"
UTAH,49,WASHINGTON,053,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,537
UTAH,49,WASHINGTON,053,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"-3,982,000"
UTAH,49,WASHINGTON,053,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"-7,414"
UTAH,49,WASHINGTON,053,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,281
UTAH,49,WASHINGTON,053,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"12,670"
UTAH,49,WASHINGTON,053,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,245
UTAH,49,WASHINGTON,053,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"8,564"
UTAH,49,WASHINGTON,053,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,15
UTAH,49,WASHINGTON,053,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,19
UTAH,49,WASHINGTON,053,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,226
UTAH,49,WASHINGTON,053,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"9,188"
UTAH,49,WASHINGTON,053,HOGS,HOGS - OPERATIONS WITH INVENTORY,,30
UTAH,49,WASHINGTON,053,HOGS,HOGS - INVENTORY,,292
UTAH,49,WASHINGTON,053,HOGS,HOGS - OPERATIONS WITH SALES,,27
UTAH,49,WASHINGTON,053,HOGS,"HOGS - SALES, MEASURED IN HEAD",,165
UTAH,49,WASHINGTON,053,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,28
UTAH,49,WASHINGTON,053,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,766
UTAH,49,WASHINGTON,053,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,119
UTAH,49,WASHINGTON,053,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"3,058"
UTAH,49,WASHINGTON,053,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,2
UTAH,49,WASHINGTON,053,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
UTAH,49,WASHINGTON,053,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
UTAH,49,WASHINGTON,053,CORN,"CORN, GRAIN - ACRES HARVESTED",,(D)
UTAH,49,WASHINGTON,053,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,WASHINGTON,053,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,2
UTAH,49,WASHINGTON,053,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
UTAH,49,WASHINGTON,053,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
UTAH,49,WASHINGTON,053,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,1
UTAH,49,WASHINGTON,053,WHEAT,WHEAT - ACRES HARVESTED,,(D)
UTAH,49,WASHINGTON,053,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,WASHINGTON,053,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,1
UTAH,49,WASHINGTON,053,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
UTAH,49,WASHINGTON,053,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,WASHINGTON,053,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,2
UTAH,49,WASHINGTON,053,OATS,OATS - ACRES HARVESTED,,(D)
UTAH,49,WASHINGTON,053,OATS,"OATS - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,WASHINGTON,053,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,1
UTAH,49,WASHINGTON,053,BARLEY,BARLEY - ACRES HARVESTED,,(D)
UTAH,49,WASHINGTON,053,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,(D)
UTAH,49,WASHINGTON,053,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,167
UTAH,49,WASHINGTON,053,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"8,507"
UTAH,49,WASHINGTON,053,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"35,346"
UTAH,49,WASHINGTON,053,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,32
UTAH,49,WASHINGTON,053,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,114
UTAH,49,WASHINGTON,053,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,4
UTAH,49,WASHINGTON,053,POTATOES,POTATOES - ACRES HARVESTED,,(D)
UTAH,49,WASHINGTON,053,SWEET POTATOES,SWEET POTATOES - OPERATIONS WITH AREA HARVESTED,,2
UTAH,49,WASHINGTON,053,SWEET POTATOES,SWEET POTATOES - ACRES HARVESTED,,(D)
UTAH,49,WASHINGTON,053,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,78
UTAH,49,WASHINGTON,053,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,252
UTAH,49,WASHINGTON,053,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,537
