state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,WAYNE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,209
UTAH,49,WAYNE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),41
UTAH,49,WAYNE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),66
UTAH,49,WAYNE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),52
UTAH,49,WAYNE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),27
UTAH,49,WAYNE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),12
UTAH,49,WAYNE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",11
UTAH,49,WAYNE,055,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"42,751"
UTAH,49,WAYNE,055,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,205
UTAH,49,WAYNE,055,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,46
UTAH,49,WAYNE,055,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"928,420"
UTAH,49,WAYNE,055,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,539"
UTAH,49,WAYNE,055,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"18,701,000"
UTAH,49,WAYNE,055,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"89,480"
UTAH,49,WAYNE,055,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,171
UTAH,49,WAYNE,055,AG LAND,"AG LAND, CROPLAND - ACRES",,"14,587"
UTAH,49,WAYNE,055,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,161
UTAH,49,WAYNE,055,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"13,336"
UTAH,49,WAYNE,055,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,183
