state,state fips,county,county code,commodity,data item,domain category,value
UTAH,49,WEBER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,260"
UTAH,49,WEBER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),618
UTAH,49,WEBER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),453
UTAH,49,WEBER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),117
UTAH,49,WEBER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),52
UTAH,49,WEBER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),10
UTAH,49,WEBER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",10
UTAH,49,WEBER,057,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"94,361"
UTAH,49,WEBER,057,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,75
UTAH,49,WEBER,057,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,10
UTAH,49,WEBER,057,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"697,872"
UTAH,49,WEBER,057,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"9,319"
UTAH,49,WEBER,057,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"74,481,000"
UTAH,49,WEBER,057,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"59,112"
UTAH,49,WEBER,057,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,911
UTAH,49,WEBER,057,AG LAND,"AG LAND, CROPLAND - ACRES",,"28,259"
UTAH,49,WEBER,057,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,818
UTAH,49,WEBER,057,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"22,238"
UTAH,49,WEBER,057,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,952
UTAH,49,WEBER,057,AG LAND,"AG LAND, IRRIGATED - ACRES",,"27,169"
UTAH,49,WEBER,057,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"49,443,000"
UTAH,49,WEBER,057,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"39,241"
UTAH,49,WEBER,057,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"24,734,000"
