state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,ALBANY,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,451
WYOMING,56,ALBANY,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),46
WYOMING,56,ALBANY,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),81
WYOMING,56,ALBANY,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),72
WYOMING,56,ALBANY,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),90
WYOMING,56,ALBANY,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),26
WYOMING,56,ALBANY,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",136
WYOMING,56,ALBANY,001,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,406,745"
WYOMING,56,ALBANY,001,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,119"
WYOMING,56,ALBANY,001,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,260
WYOMING,56,ALBANY,001,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,280,442"
WYOMING,56,ALBANY,001,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,731
WYOMING,56,ALBANY,001,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"42,890,000"
WYOMING,56,ALBANY,001,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"96,165"
WYOMING,56,ALBANY,001,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,194
WYOMING,56,ALBANY,001,AG LAND,"AG LAND, CROPLAND - ACRES",,"106,924"
WYOMING,56,ALBANY,001,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,163
WYOMING,56,ALBANY,001,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"86,194"
WYOMING,56,ALBANY,001,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,165
WYOMING,56,ALBANY,001,AG LAND,"AG LAND, IRRIGATED - ACRES",,"109,508"
WYOMING,56,ALBANY,001,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"50,819,000"
WYOMING,56,ALBANY,001,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"112,681"
WYOMING,56,ALBANY,001,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"6,340,000"
WYOMING,56,ALBANY,001,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"44,480,000"
WYOMING,56,ALBANY,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
WYOMING,56,ALBANY,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",209
WYOMING,56,ALBANY,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",35
WYOMING,56,ALBANY,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",23
WYOMING,56,ALBANY,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",35
WYOMING,56,ALBANY,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",37
WYOMING,56,ALBANY,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",17
WYOMING,56,ALBANY,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",95
WYOMING,56,ALBANY,001,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,24
WYOMING,56,ALBANY,001,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"441,000"
WYOMING,56,ALBANY,001,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,186
