state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,586
WYOMING,56,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),44
WYOMING,56,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),193
WYOMING,56,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),136
WYOMING,56,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),82
WYOMING,56,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),56
WYOMING,56,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",75
WYOMING,56,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"322,241"
WYOMING,56,BIG HORN,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,550
WYOMING,56,BIG HORN,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,80
WYOMING,56,BIG HORN,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"874,055"
WYOMING,56,BIG HORN,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,589"
WYOMING,56,BIG HORN,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"94,231,000"
WYOMING,56,BIG HORN,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"161,355"
WYOMING,56,BIG HORN,003,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,399
WYOMING,56,BIG HORN,003,AG LAND,"AG LAND, CROPLAND - ACRES",,"117,850"
WYOMING,56,BIG HORN,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,357
WYOMING,56,BIG HORN,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"89,084"
WYOMING,56,BIG HORN,003,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,486
WYOMING,56,BIG HORN,003,AG LAND,"AG LAND, IRRIGATED - ACRES",,"107,391"
WYOMING,56,BIG HORN,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"74,921,000"
WYOMING,56,BIG HORN,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"127,852"
WYOMING,56,BIG HORN,003,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"44,574,000"
WYOMING,56,BIG HORN,003,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"30,347,000"
WYOMING,56,BIG HORN,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
