state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,CAMPBELL,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,643
WYOMING,56,CAMPBELL,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),50
WYOMING,56,CAMPBELL,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),114
WYOMING,56,CAMPBELL,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),91
WYOMING,56,CAMPBELL,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),62
WYOMING,56,CAMPBELL,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),34
WYOMING,56,CAMPBELL,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",292
WYOMING,56,CAMPBELL,005,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"2,901,210"
WYOMING,56,CAMPBELL,005,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"4,512"
WYOMING,56,CAMPBELL,005,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,537
WYOMING,56,CAMPBELL,005,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,553,745"
WYOMING,56,CAMPBELL,005,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,566
WYOMING,56,CAMPBELL,005,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"86,513,000"
WYOMING,56,CAMPBELL,005,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"134,546"
WYOMING,56,CAMPBELL,005,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,277
WYOMING,56,CAMPBELL,005,AG LAND,"AG LAND, CROPLAND - ACRES",,"184,280"
WYOMING,56,CAMPBELL,005,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,240
WYOMING,56,CAMPBELL,005,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"70,947"
WYOMING,56,CAMPBELL,005,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,30
WYOMING,56,CAMPBELL,005,AG LAND,"AG LAND, IRRIGATED - ACRES",,"5,110"
WYOMING,56,CAMPBELL,005,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"69,897,000"
WYOMING,56,CAMPBELL,005,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"108,705"
WYOMING,56,CAMPBELL,005,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"2,557,000"
WYOMING,56,CAMPBELL,005,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"67,340,000"
WYOMING,56,CAMPBELL,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
WYOMING,56,CAMPBELL,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",232
WYOMING,56,CAMPBELL,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",46
WYOMING,56,CAMPBELL,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",47
WYOMING,56,CAMPBELL,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",56
WYOMING,56,CAMPBELL,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",35
WYOMING,56,CAMPBELL,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",48
