state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,CARBON,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,345
WYOMING,56,CARBON,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),29
WYOMING,56,CARBON,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),36
WYOMING,56,CARBON,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),72
WYOMING,56,CARBON,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),40
WYOMING,56,CARBON,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),21
WYOMING,56,CARBON,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",147
WYOMING,56,CARBON,007,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"2,811,832"
WYOMING,56,CARBON,007,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"8,150"
WYOMING,56,CARBON,007,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,450
WYOMING,56,CARBON,007,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"4,486,393"
WYOMING,56,CARBON,007,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,550
WYOMING,56,CARBON,007,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"49,871,000"
WYOMING,56,CARBON,007,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"145,397"
WYOMING,56,CARBON,007,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,172
WYOMING,56,CARBON,007,AG LAND,"AG LAND, CROPLAND - ACRES",,"143,863"
WYOMING,56,CARBON,007,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,165
