state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,CONVERSE,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,384
WYOMING,56,CONVERSE,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),30
WYOMING,56,CONVERSE,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),61
WYOMING,56,CONVERSE,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),43
WYOMING,56,CONVERSE,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),61
WYOMING,56,CONVERSE,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),32
WYOMING,56,CONVERSE,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",157
WYOMING,56,CONVERSE,009,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"2,593,514"
WYOMING,56,CONVERSE,009,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"6,754"
WYOMING,56,CONVERSE,009,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,479
WYOMING,56,CONVERSE,009,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,576,045"
WYOMING,56,CONVERSE,009,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,529
WYOMING,56,CONVERSE,009,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"61,379,000"
WYOMING,56,CONVERSE,009,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"159,841"
