state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,CROOK,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,554
WYOMING,56,CROOK,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),29
WYOMING,56,CROOK,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),58
WYOMING,56,CROOK,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),122
WYOMING,56,CROOK,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),85
WYOMING,56,CROOK,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),55
WYOMING,56,CROOK,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",205
WYOMING,56,CROOK,011,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,465,641"
WYOMING,56,CROOK,011,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,646"
WYOMING,56,CROOK,011,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,380
WYOMING,56,CROOK,011,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,590,429"
WYOMING,56,CROOK,011,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,979
WYOMING,56,CROOK,011,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"74,507,000"
WYOMING,56,CROOK,011,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"134,976"
WYOMING,56,CROOK,011,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,347
WYOMING,56,CROOK,011,AG LAND,"AG LAND, CROPLAND - ACRES",,"175,527"
WYOMING,56,CROOK,011,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,260
WYOMING,56,CROOK,011,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"81,793"
WYOMING,56,CROOK,011,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,39
WYOMING,56,CROOK,011,AG LAND,"AG LAND, IRRIGATED - ACRES",,"9,367"
WYOMING,56,CROOK,011,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"52,936,000"
WYOMING,56,CROOK,011,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"95,552"
WYOMING,56,CROOK,011,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,626,000"
WYOMING,56,CROOK,011,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"49,310,000"
WYOMING,56,CROOK,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
WYOMING,56,CROOK,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",219
WYOMING,56,CROOK,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",27
WYOMING,56,CROOK,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",24
WYOMING,56,CROOK,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",53
WYOMING,56,CROOK,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",31
WYOMING,56,CROOK,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",71
WYOMING,56,CROOK,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",129
WYOMING,56,CROOK,011,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,175
WYOMING,56,CROOK,011,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,959,000"
WYOMING,56,CROOK,011,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,305
WYOMING,56,CROOK,011,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"4,642,000"
WYOMING,56,CROOK,011,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"45,667,000"
WYOMING,56,CROOK,011,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"82,431"
WYOMING,56,CROOK,011,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,554
WYOMING,56,CROOK,011,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"14,869,000"
WYOMING,56,CROOK,011,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"26,840"
WYOMING,56,CROOK,011,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,308
WYOMING,56,CROOK,011,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"67,640"
WYOMING,56,CROOK,011,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,272
WYOMING,56,CROOK,011,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"41,282"
WYOMING,56,CROOK,011,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,10
WYOMING,56,CROOK,011,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,21
WYOMING,56,CROOK,011,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,290
WYOMING,56,CROOK,011,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"47,136"
WYOMING,56,CROOK,011,HOGS,HOGS - OPERATIONS WITH INVENTORY,,16
WYOMING,56,CROOK,011,HOGS,HOGS - INVENTORY,,270
WYOMING,56,CROOK,011,HOGS,HOGS - OPERATIONS WITH SALES,,16
WYOMING,56,CROOK,011,HOGS,"HOGS - SALES, MEASURED IN HEAD",,323
WYOMING,56,CROOK,011,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,32
WYOMING,56,CROOK,011,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"12,214"
WYOMING,56,CROOK,011,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,34
WYOMING,56,CROOK,011,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,562
WYOMING,56,CROOK,011,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,18
WYOMING,56,CROOK,011,WHEAT,WHEAT - ACRES HARVESTED,,"3,619"
WYOMING,56,CROOK,011,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"94,741"
WYOMING,56,CROOK,011,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,5
WYOMING,56,CROOK,011,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"1,458"
WYOMING,56,CROOK,011,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"14,469"
WYOMING,56,CROOK,011,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,13
WYOMING,56,CROOK,011,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"2,161"
WYOMING,56,CROOK,011,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"80,272"
WYOMING,56,CROOK,011,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,1
WYOMING,56,CROOK,011,OATS,OATS - ACRES HARVESTED,,(D)
WYOMING,56,CROOK,011,OATS,"OATS - PRODUCTION, MEASURED IN BU",,(D)
WYOMING,56,CROOK,011,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,7
WYOMING,56,CROOK,011,BARLEY,BARLEY - ACRES HARVESTED,,597
WYOMING,56,CROOK,011,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"21,162"
WYOMING,56,CROOK,011,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,254
WYOMING,56,CROOK,011,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"77,415"
