state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,FREMONT,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,152"
WYOMING,56,FREMONT,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),100
WYOMING,56,FREMONT,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),318
WYOMING,56,FREMONT,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),276
WYOMING,56,FREMONT,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),205
WYOMING,56,FREMONT,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),114
WYOMING,56,FREMONT,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",139
WYOMING,56,FREMONT,013,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,165,154"
WYOMING,56,FREMONT,013,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,011"
WYOMING,56,FREMONT,013,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,100
WYOMING,56,FREMONT,013,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,288,331"
WYOMING,56,FREMONT,013,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,274"
WYOMING,56,FREMONT,013,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"140,312,000"
WYOMING,56,FREMONT,013,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"122,650"
WYOMING,56,FREMONT,013,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,813
WYOMING,56,FREMONT,013,AG LAND,"AG LAND, CROPLAND - ACRES",,"125,861"
WYOMING,56,FREMONT,013,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,741
WYOMING,56,FREMONT,013,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"107,753"
WYOMING,56,FREMONT,013,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,894
WYOMING,56,FREMONT,013,AG LAND,"AG LAND, IRRIGATED - ACRES",,"135,890"
WYOMING,56,FREMONT,013,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"82,427,000"
WYOMING,56,FREMONT,013,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"71,551"
WYOMING,56,FREMONT,013,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"33,443,000"
WYOMING,56,FREMONT,013,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"48,984,000"
WYOMING,56,FREMONT,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
WYOMING,56,FREMONT,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",381
WYOMING,56,FREMONT,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",95
WYOMING,56,FREMONT,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",111
WYOMING,56,FREMONT,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",162
WYOMING,56,FREMONT,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",89
WYOMING,56,FREMONT,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",98
WYOMING,56,FREMONT,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",216
WYOMING,56,FREMONT,013,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,153
WYOMING,56,FREMONT,013,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,073,000"
WYOMING,56,FREMONT,013,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,488
WYOMING,56,FREMONT,013,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"12,831,000"
WYOMING,56,FREMONT,013,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"74,392,000"
WYOMING,56,FREMONT,013,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"64,576"
WYOMING,56,FREMONT,013,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,"1,152"
WYOMING,56,FREMONT,013,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"22,939,000"
WYOMING,56,FREMONT,013,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"19,912"
WYOMING,56,FREMONT,013,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,537
WYOMING,56,FREMONT,013,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"89,022"
WYOMING,56,FREMONT,013,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,473
WYOMING,56,FREMONT,013,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"55,924"
WYOMING,56,FREMONT,013,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,18
WYOMING,56,FREMONT,013,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,43
WYOMING,56,FREMONT,013,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,475
WYOMING,56,FREMONT,013,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"52,309"
WYOMING,56,FREMONT,013,HOGS,HOGS - OPERATIONS WITH INVENTORY,,9
WYOMING,56,FREMONT,013,HOGS,HOGS - INVENTORY,,23
WYOMING,56,FREMONT,013,HOGS,HOGS - OPERATIONS WITH SALES,,11
WYOMING,56,FREMONT,013,HOGS,"HOGS - SALES, MEASURED IN HEAD",,30
WYOMING,56,FREMONT,013,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,92
WYOMING,56,FREMONT,013,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"16,589"
WYOMING,56,FREMONT,013,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,126
WYOMING,56,FREMONT,013,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"2,647"
WYOMING,56,FREMONT,013,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,9
WYOMING,56,FREMONT,013,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,"1,230"
WYOMING,56,FREMONT,013,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,16
WYOMING,56,FREMONT,013,CORN,"CORN, GRAIN - ACRES HARVESTED",,"1,067"
WYOMING,56,FREMONT,013,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"135,719"
WYOMING,56,FREMONT,013,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,35
WYOMING,56,FREMONT,013,CORN,"CORN, SILAGE - ACRES HARVESTED",,"2,523"
WYOMING,56,FREMONT,013,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"54,669"
WYOMING,56,FREMONT,013,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,1
WYOMING,56,FREMONT,013,WHEAT,WHEAT - ACRES HARVESTED,,(D)
WYOMING,56,FREMONT,013,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,(D)
WYOMING,56,FREMONT,013,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,1
WYOMING,56,FREMONT,013,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
WYOMING,56,FREMONT,013,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
WYOMING,56,FREMONT,013,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,10
WYOMING,56,FREMONT,013,OATS,OATS - ACRES HARVESTED,,434
WYOMING,56,FREMONT,013,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"39,703"
WYOMING,56,FREMONT,013,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,35
WYOMING,56,FREMONT,013,BARLEY,BARLEY - ACRES HARVESTED,,"5,075"
WYOMING,56,FREMONT,013,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"608,378"
WYOMING,56,FREMONT,013,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,14
WYOMING,56,FREMONT,013,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,"1,142"
WYOMING,56,FREMONT,013,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",,"27,013"
WYOMING,56,FREMONT,013,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,714
WYOMING,56,FREMONT,013,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"93,176"
WYOMING,56,FREMONT,013,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"268,443"
WYOMING,56,FREMONT,013,SUGARBEETS,SUGARBEETS - OPERATIONS WITH AREA HARVESTED,,12
WYOMING,56,FREMONT,013,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,,"2,975"
WYOMING,56,FREMONT,013,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",,"92,765"
WYOMING,56,FREMONT,013,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,14
WYOMING,56,FREMONT,013,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,21
WYOMING,56,FREMONT,013,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,5
WYOMING,56,FREMONT,013,POTATOES,POTATOES - ACRES HARVESTED,,(D)
WYOMING,56,FREMONT,013,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,16
WYOMING,56,FREMONT,013,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,18
WYOMING,56,FREMONT,013,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,"1,152"
