state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,HOT SPRINGS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,223
WYOMING,56,HOT SPRINGS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),37
WYOMING,56,HOT SPRINGS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),52
WYOMING,56,HOT SPRINGS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),51
WYOMING,56,HOT SPRINGS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),29
WYOMING,56,HOT SPRINGS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),13
WYOMING,56,HOT SPRINGS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",41
WYOMING,56,HOT SPRINGS,017,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"528,123"
WYOMING,56,HOT SPRINGS,017,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,368"
WYOMING,56,HOT SPRINGS,017,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,79
WYOMING,56,HOT SPRINGS,017,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,469,992"
WYOMING,56,HOT SPRINGS,017,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,621
WYOMING,56,HOT SPRINGS,017,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"20,114,000"
WYOMING,56,HOT SPRINGS,017,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"90,195"
WYOMING,56,HOT SPRINGS,017,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,141
WYOMING,56,HOT SPRINGS,017,AG LAND,"AG LAND, CROPLAND - ACRES",,"22,740"
WYOMING,56,HOT SPRINGS,017,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,115
WYOMING,56,HOT SPRINGS,017,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"10,210"
WYOMING,56,HOT SPRINGS,017,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,154
WYOMING,56,HOT SPRINGS,017,AG LAND,"AG LAND, IRRIGATED - ACRES",,"14,809"
WYOMING,56,HOT SPRINGS,017,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"15,225,000"
WYOMING,56,HOT SPRINGS,017,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"68,275"
