state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,JOHNSON,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,384
WYOMING,56,JOHNSON,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),10
WYOMING,56,JOHNSON,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),71
WYOMING,56,JOHNSON,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),71
WYOMING,56,JOHNSON,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),56
WYOMING,56,JOHNSON,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),14
WYOMING,56,JOHNSON,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",162
WYOMING,56,JOHNSON,019,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,974,363"
WYOMING,56,JOHNSON,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"5,142"
WYOMING,56,JOHNSON,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,355
WYOMING,56,JOHNSON,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,020,697"
WYOMING,56,JOHNSON,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,588
WYOMING,56,JOHNSON,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"48,847,000"
WYOMING,56,JOHNSON,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"128,544"
