state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,LARAMIE,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,999
WYOMING,56,LARAMIE,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),87
WYOMING,56,LARAMIE,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),230
WYOMING,56,LARAMIE,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),197
WYOMING,56,LARAMIE,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),180
WYOMING,56,LARAMIE,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),86
WYOMING,56,LARAMIE,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",219
WYOMING,56,LARAMIE,021,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,629,655"
WYOMING,56,LARAMIE,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,631"
WYOMING,56,LARAMIE,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,160
WYOMING,56,LARAMIE,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,383,473"
WYOMING,56,LARAMIE,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,848
WYOMING,56,LARAMIE,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"123,767,000"
WYOMING,56,LARAMIE,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"123,891"
WYOMING,56,LARAMIE,021,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,438
WYOMING,56,LARAMIE,021,AG LAND,"AG LAND, CROPLAND - ACRES",,"382,266"
WYOMING,56,LARAMIE,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,335
WYOMING,56,LARAMIE,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"170,990"
WYOMING,56,LARAMIE,021,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,173
WYOMING,56,LARAMIE,021,AG LAND,"AG LAND, IRRIGATED - ACRES",,"67,134"
WYOMING,56,LARAMIE,021,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"184,577,000"
WYOMING,56,LARAMIE,021,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"184,762"
WYOMING,56,LARAMIE,021,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"33,042,000"
WYOMING,56,LARAMIE,021,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"151,535,000"
WYOMING,56,LARAMIE,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
WYOMING,56,LARAMIE,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",456
WYOMING,56,LARAMIE,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",71
WYOMING,56,LARAMIE,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",81
WYOMING,56,LARAMIE,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",94
WYOMING,56,LARAMIE,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",78
WYOMING,56,LARAMIE,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",70
WYOMING,56,LARAMIE,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",149
WYOMING,56,LARAMIE,021,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,293
WYOMING,56,LARAMIE,021,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"4,856,000"
WYOMING,56,LARAMIE,021,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,411
WYOMING,56,LARAMIE,021,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"6,015,000"
WYOMING,56,LARAMIE,021,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"164,980,000"
WYOMING,56,LARAMIE,021,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"165,145"
WYOMING,56,LARAMIE,021,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,999
WYOMING,56,LARAMIE,021,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"30,468,000"
WYOMING,56,LARAMIE,021,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"30,499"
WYOMING,56,LARAMIE,021,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,402
WYOMING,56,LARAMIE,021,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"80,617"
WYOMING,56,LARAMIE,021,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,326
WYOMING,56,LARAMIE,021,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
WYOMING,56,LARAMIE,021,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,11
WYOMING,56,LARAMIE,021,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
WYOMING,56,LARAMIE,021,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,373
WYOMING,56,LARAMIE,021,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"70,621"
WYOMING,56,LARAMIE,021,HOGS,HOGS - OPERATIONS WITH INVENTORY,,38
WYOMING,56,LARAMIE,021,HOGS,HOGS - INVENTORY,,(D)
WYOMING,56,LARAMIE,021,HOGS,HOGS - OPERATIONS WITH SALES,,36
WYOMING,56,LARAMIE,021,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
WYOMING,56,LARAMIE,021,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,58
WYOMING,56,LARAMIE,021,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"30,110"
WYOMING,56,LARAMIE,021,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,141
WYOMING,56,LARAMIE,021,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"2,336"
WYOMING,56,LARAMIE,021,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,3
WYOMING,56,LARAMIE,021,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,132
WYOMING,56,LARAMIE,021,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,39
WYOMING,56,LARAMIE,021,CORN,"CORN, GRAIN - ACRES HARVESTED",,"17,181"
WYOMING,56,LARAMIE,021,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"1,898,832"
WYOMING,56,LARAMIE,021,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,17
WYOMING,56,LARAMIE,021,CORN,"CORN, SILAGE - ACRES HARVESTED",,"3,713"
WYOMING,56,LARAMIE,021,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"87,167"
WYOMING,56,LARAMIE,021,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,124
WYOMING,56,LARAMIE,021,WHEAT,WHEAT - ACRES HARVESTED,,"73,299"
WYOMING,56,LARAMIE,021,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"2,177,182"
WYOMING,56,LARAMIE,021,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,2
WYOMING,56,LARAMIE,021,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
WYOMING,56,LARAMIE,021,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
WYOMING,56,LARAMIE,021,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,122
WYOMING,56,LARAMIE,021,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
WYOMING,56,LARAMIE,021,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
WYOMING,56,LARAMIE,021,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,4
WYOMING,56,LARAMIE,021,OATS,OATS - ACRES HARVESTED,,528
WYOMING,56,LARAMIE,021,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"17,012"
WYOMING,56,LARAMIE,021,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,4
WYOMING,56,LARAMIE,021,BARLEY,BARLEY - ACRES HARVESTED,,"1,128"
WYOMING,56,LARAMIE,021,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,(D)
WYOMING,56,LARAMIE,021,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
WYOMING,56,LARAMIE,021,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,(D)
WYOMING,56,LARAMIE,021,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
WYOMING,56,LARAMIE,021,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,1
WYOMING,56,LARAMIE,021,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,(D)
WYOMING,56,LARAMIE,021,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
WYOMING,56,LARAMIE,021,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,19
WYOMING,56,LARAMIE,021,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,"4,562"
WYOMING,56,LARAMIE,021,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",,"106,523"
WYOMING,56,LARAMIE,021,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,252
WYOMING,56,LARAMIE,021,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"62,186"
WYOMING,56,LARAMIE,021,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"112,027"
WYOMING,56,LARAMIE,021,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,7
WYOMING,56,LARAMIE,021,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,"2,101"
WYOMING,56,LARAMIE,021,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,"1,526,000"
WYOMING,56,LARAMIE,021,SUGARBEETS,SUGARBEETS - OPERATIONS WITH AREA HARVESTED,,1
WYOMING,56,LARAMIE,021,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,,(D)
WYOMING,56,LARAMIE,021,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",,(D)
