state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,LINCOLN,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,698
WYOMING,56,LINCOLN,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),109
WYOMING,56,LINCOLN,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),254
WYOMING,56,LINCOLN,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),136
WYOMING,56,LINCOLN,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),87
WYOMING,56,LINCOLN,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),39
WYOMING,56,LINCOLN,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",73
WYOMING,56,LINCOLN,023,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"364,892"
WYOMING,56,LINCOLN,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,523
WYOMING,56,LINCOLN,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,40
WYOMING,56,LINCOLN,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"955,622"
WYOMING,56,LINCOLN,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,828"
WYOMING,56,LINCOLN,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"57,535,000"
WYOMING,56,LINCOLN,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"82,429"
WYOMING,56,LINCOLN,023,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,472
WYOMING,56,LINCOLN,023,AG LAND,"AG LAND, CROPLAND - ACRES",,"94,026"
WYOMING,56,LINCOLN,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,436
WYOMING,56,LINCOLN,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"80,829"
WYOMING,56,LINCOLN,023,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,443
