state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,PARK,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,008"
WYOMING,56,PARK,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),127
WYOMING,56,PARK,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),333
WYOMING,56,PARK,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),262
WYOMING,56,PARK,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),123
WYOMING,56,PARK,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),63
WYOMING,56,PARK,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",100
WYOMING,56,PARK,029,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"929,926"
WYOMING,56,PARK,029,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,923
WYOMING,56,PARK,029,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,60
WYOMING,56,PARK,029,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,378,458"
WYOMING,56,PARK,029,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,494"
WYOMING,56,PARK,029,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"125,470,000"
WYOMING,56,PARK,029,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"124,845"
WYOMING,56,PARK,029,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,750
WYOMING,56,PARK,029,AG LAND,"AG LAND, CROPLAND - ACRES",,"140,520"
WYOMING,56,PARK,029,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,657
WYOMING,56,PARK,029,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"101,589"
WYOMING,56,PARK,029,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,824
