state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,SHERIDAN,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,833
WYOMING,56,SHERIDAN,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),97
WYOMING,56,SHERIDAN,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),284
WYOMING,56,SHERIDAN,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),147
WYOMING,56,SHERIDAN,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),90
WYOMING,56,SHERIDAN,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),69
WYOMING,56,SHERIDAN,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",146
WYOMING,56,SHERIDAN,033,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,213,820"
WYOMING,56,SHERIDAN,033,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,457"
WYOMING,56,SHERIDAN,033,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,60
WYOMING,56,SHERIDAN,033,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,783,962"
WYOMING,56,SHERIDAN,033,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,224"
WYOMING,56,SHERIDAN,033,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"84,678,000"
WYOMING,56,SHERIDAN,033,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"101,776"
WYOMING,56,SHERIDAN,033,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,596
WYOMING,56,SHERIDAN,033,AG LAND,"AG LAND, CROPLAND - ACRES",,"95,916"
WYOMING,56,SHERIDAN,033,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,535
WYOMING,56,SHERIDAN,033,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"71,992"
WYOMING,56,SHERIDAN,033,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,473
WYOMING,56,SHERIDAN,033,AG LAND,"AG LAND, IRRIGATED - ACRES",,"54,571"
WYOMING,56,SHERIDAN,033,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"59,674,000"
WYOMING,56,SHERIDAN,033,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"71,638"
WYOMING,56,SHERIDAN,033,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"8,646,000"
WYOMING,56,SHERIDAN,033,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"51,028,000"
WYOMING,56,SHERIDAN,033,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
