state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,SWEETWATER,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,219
WYOMING,56,SWEETWATER,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),16
WYOMING,56,SWEETWATER,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),40
WYOMING,56,SWEETWATER,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),57
WYOMING,56,SWEETWATER,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),33
WYOMING,56,SWEETWATER,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),19
WYOMING,56,SWEETWATER,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",54
WYOMING,56,SWEETWATER,037,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,370,042"
WYOMING,56,SWEETWATER,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"6,256"
WYOMING,56,SWEETWATER,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,160
WYOMING,56,SWEETWATER,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,851,640"
WYOMING,56,SWEETWATER,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,296
WYOMING,56,SWEETWATER,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"24,051,000"
WYOMING,56,SWEETWATER,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"110,326"
WYOMING,56,SWEETWATER,037,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,144
WYOMING,56,SWEETWATER,037,AG LAND,"AG LAND, CROPLAND - ACRES",,"35,586"
WYOMING,56,SWEETWATER,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,134
WYOMING,56,SWEETWATER,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"28,358"
WYOMING,56,SWEETWATER,037,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,147
WYOMING,56,SWEETWATER,037,AG LAND,"AG LAND, IRRIGATED - ACRES",,"35,424"
WYOMING,56,SWEETWATER,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"16,454,000"
WYOMING,56,SWEETWATER,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"75,133"
WYOMING,56,SWEETWATER,037,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"4,560,000"
WYOMING,56,SWEETWATER,037,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"11,894,000"
WYOMING,56,SWEETWATER,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
WYOMING,56,SWEETWATER,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",70
WYOMING,56,SWEETWATER,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",3
WYOMING,56,SWEETWATER,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",17
WYOMING,56,SWEETWATER,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",38
WYOMING,56,SWEETWATER,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",18
WYOMING,56,SWEETWATER,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",26
WYOMING,56,SWEETWATER,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",47
WYOMING,56,SWEETWATER,037,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,13
WYOMING,56,SWEETWATER,037,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"201,000"
WYOMING,56,SWEETWATER,037,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,79
WYOMING,56,SWEETWATER,037,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"2,137,000"
WYOMING,56,SWEETWATER,037,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"14,055,000"
WYOMING,56,SWEETWATER,037,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"64,179"
WYOMING,56,SWEETWATER,037,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,219
