state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,TETON,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,142
WYOMING,56,TETON,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),24
WYOMING,56,TETON,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),25
WYOMING,56,TETON,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),42
WYOMING,56,TETON,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),25
WYOMING,56,TETON,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),7
WYOMING,56,TETON,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",19
WYOMING,56,TETON,039,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"67,649"
WYOMING,56,TETON,039,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,476
WYOMING,56,TETON,039,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,118
WYOMING,56,TETON,039,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,929,058"
WYOMING,56,TETON,039,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,049"
WYOMING,56,TETON,039,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"14,544,000"
WYOMING,56,TETON,039,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"103,147"
WYOMING,56,TETON,039,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,98
WYOMING,56,TETON,039,AG LAND,"AG LAND, CROPLAND - ACRES",,"15,791"
WYOMING,56,TETON,039,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,92
WYOMING,56,TETON,039,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"12,795"
WYOMING,56,TETON,039,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,98
