state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,UINTA,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,403
WYOMING,56,UINTA,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),65
WYOMING,56,UINTA,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),108
WYOMING,56,UINTA,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),67
WYOMING,56,UINTA,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),53
WYOMING,56,UINTA,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),30
WYOMING,56,UINTA,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",80
WYOMING,56,UINTA,041,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"656,988"
WYOMING,56,UINTA,041,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,630"
WYOMING,56,UINTA,041,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,80
WYOMING,56,UINTA,041,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,747,715"
WYOMING,56,UINTA,041,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,072"
WYOMING,56,UINTA,041,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"41,144,000"
WYOMING,56,UINTA,041,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"102,095"
WYOMING,56,UINTA,041,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,247
WYOMING,56,UINTA,041,AG LAND,"AG LAND, CROPLAND - ACRES",,"84,769"
WYOMING,56,UINTA,041,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,236
WYOMING,56,UINTA,041,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"47,960"
WYOMING,56,UINTA,041,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,280
WYOMING,56,UINTA,041,AG LAND,"AG LAND, IRRIGATED - ACRES",,"76,188"
WYOMING,56,UINTA,041,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"26,662,000"
WYOMING,56,UINTA,041,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"66,158"
WYOMING,56,UINTA,041,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,629,000"
WYOMING,56,UINTA,041,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"23,033,000"
WYOMING,56,UINTA,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
WYOMING,56,UINTA,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",168
WYOMING,56,UINTA,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",37
WYOMING,56,UINTA,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",30
WYOMING,56,UINTA,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",34
WYOMING,56,UINTA,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",33
WYOMING,56,UINTA,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",34
WYOMING,56,UINTA,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",67
WYOMING,56,UINTA,041,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,6
WYOMING,56,UINTA,041,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"130,000"
WYOMING,56,UINTA,041,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,109
WYOMING,56,UINTA,041,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"1,668,000"
WYOMING,56,UINTA,041,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"24,304,000"
WYOMING,56,UINTA,041,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"60,308"
WYOMING,56,UINTA,041,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,403
WYOMING,56,UINTA,041,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"4,155,000"
WYOMING,56,UINTA,041,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"10,310"
WYOMING,56,UINTA,041,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,221
WYOMING,56,UINTA,041,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"38,737"
WYOMING,56,UINTA,041,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,199
WYOMING,56,UINTA,041,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"25,268"
WYOMING,56,UINTA,041,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,179
WYOMING,56,UINTA,041,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"22,993"
WYOMING,56,UINTA,041,HOGS,HOGS - OPERATIONS WITH INVENTORY,,14
WYOMING,56,UINTA,041,HOGS,HOGS - INVENTORY,,36
WYOMING,56,UINTA,041,HOGS,HOGS - OPERATIONS WITH SALES,,20
WYOMING,56,UINTA,041,HOGS,"HOGS - SALES, MEASURED IN HEAD",,25
WYOMING,56,UINTA,041,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,38
WYOMING,56,UINTA,041,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"32,118"
WYOMING,56,UINTA,041,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,42
WYOMING,56,UINTA,041,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,943
WYOMING,56,UINTA,041,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,4
WYOMING,56,UINTA,041,BARLEY,BARLEY - ACRES HARVESTED,,132
WYOMING,56,UINTA,041,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"6,412"
WYOMING,56,UINTA,041,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,1
WYOMING,56,UINTA,041,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,(D)
WYOMING,56,UINTA,041,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",,(D)
WYOMING,56,UINTA,041,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,232
WYOMING,56,UINTA,041,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"47,824"
WYOMING,56,UINTA,041,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"91,191"
WYOMING,56,UINTA,041,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,1
