state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,WASHAKIE,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,246
WYOMING,56,WASHAKIE,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),36
WYOMING,56,WASHAKIE,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),53
WYOMING,56,WASHAKIE,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),61
WYOMING,56,WASHAKIE,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),25
WYOMING,56,WASHAKIE,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),15
WYOMING,56,WASHAKIE,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",56
WYOMING,56,WASHAKIE,043,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"316,161"
WYOMING,56,WASHAKIE,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,285"
WYOMING,56,WASHAKIE,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,85
WYOMING,56,WASHAKIE,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,502,187"
WYOMING,56,WASHAKIE,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,169"
WYOMING,56,WASHAKIE,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"51,552,000"
WYOMING,56,WASHAKIE,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"211,277"
WYOMING,56,WASHAKIE,043,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,155
WYOMING,56,WASHAKIE,043,AG LAND,"AG LAND, CROPLAND - ACRES",,"53,438"
WYOMING,56,WASHAKIE,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,134
WYOMING,56,WASHAKIE,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"33,320"
WYOMING,56,WASHAKIE,043,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,182
WYOMING,56,WASHAKIE,043,AG LAND,"AG LAND, IRRIGATED - ACRES",,"38,477"
WYOMING,56,WASHAKIE,043,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"43,019,000"
WYOMING,56,WASHAKIE,043,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"174,873"
WYOMING,56,WASHAKIE,043,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"16,260,000"
WYOMING,56,WASHAKIE,043,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"26,759,000"
WYOMING,56,WASHAKIE,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
WYOMING,56,WASHAKIE,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",75
WYOMING,56,WASHAKIE,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",19
WYOMING,56,WASHAKIE,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",27
WYOMING,56,WASHAKIE,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",31
WYOMING,56,WASHAKIE,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",13
