state,state fips,county,county code,commodity,data item,domain category,value
WYOMING,56,WESTON,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,247
WYOMING,56,WESTON,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),20
WYOMING,56,WESTON,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),24
WYOMING,56,WESTON,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),45
WYOMING,56,WESTON,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),36
WYOMING,56,WESTON,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),9
WYOMING,56,WESTON,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",113
WYOMING,56,WESTON,045,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,227,012"
WYOMING,56,WESTON,045,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"4,968"
WYOMING,56,WESTON,045,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,465
WYOMING,56,WESTON,045,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,321,035"
WYOMING,56,WESTON,045,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,669
WYOMING,56,WESTON,045,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"31,936,000"
WYOMING,56,WESTON,045,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"129,296"
WYOMING,56,WESTON,045,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,133
WYOMING,56,WESTON,045,AG LAND,"AG LAND, CROPLAND - ACRES",,"37,507"
WYOMING,56,WESTON,045,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,89
WYOMING,56,WESTON,045,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"21,581"
WYOMING,56,WESTON,045,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,17
WYOMING,56,WESTON,045,AG LAND,"AG LAND, IRRIGATED - ACRES",,"4,159"
WYOMING,56,WESTON,045,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"34,273,000"
WYOMING,56,WESTON,045,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"138,759"
WYOMING,56,WESTON,045,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"617,000"
WYOMING,56,WESTON,045,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"33,657,000"
WYOMING,56,WESTON,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
