"","State","Variable","Predictor","Correlation","PValue","Significance"
"1","Utah","totalworkersh2a","Mammography",0.69,0,TRUE
"2","Utah","totalworkersh2a","Hospitals",0.563,0,TRUE
"3","Utah","totalworkersh2a","Birthing Center",0.562,0,TRUE
"4","Utah","totalworkersh2a","Assisted Living Facility - Type II",0.559,0,TRUE
"5","Colorado","totalworkersh2a","Hospitals",0.472,0,TRUE
"6","Utah","totalworkersh2a","Home Health Agency",0.468,0,TRUE
"7","Utah","totalworkersh2a","Personal Care Agency",0.464,0,TRUE
"8","Utah","totalworkersh2a","Nursing Care Facility",0.447,0,TRUE
"9","North Dakota","totalworkersh2a","Hospitals",0.435,0,TRUE
"10","Utah","totalworkersh2a","Ambulatory Surgical Facility",0.405,0,TRUE
"11","Utah","totalworkersh2a","Small Health Care Facility",0.369,0,TRUE
"12","Colorado","totalworkersh2a","Free_Standing_Emergency_Departments",0.361,0,TRUE
"13","Utah","totalworkersh2a","Small Health Care Facility - Type N",0.348,0,TRUE
"14","Utah","totalworkersh2a","End Stage Renal Disease Facility",0.332,0,TRUE
"15","Utah","totalworkersh2a","Hospice",0.301,0,TRUE
"16","North Dakota","totalworkersh2a","Rural_Health_Clinics",0.284,0,TRUE
"17","Colorado","totalworkersh2a","Rehabilitation_Hospitals",0.283,0,TRUE
"18","Wyoming","totalworkersh2a","Critical_Access_Hospitals",0.259,0,TRUE
"19","Utah","totalworkersh2a","Assisted Living Facility - Type I",0.239,0,TRUE
"20","Montana","totalworkersh2a","Hospitals",0.223,0,TRUE
"21","Montana","totalworkersh2a","Rural_Clinics",0.203,0,TRUE
"22","Utah","totalworkersh2a","Abortion Clinic",0.199,0,TRUE
"23","Wyoming","totalworkersh2a","Hospitals",0.165,0,TRUE
"24","South Dakota","totalworkersh2a","Hospitals",0.077,0,TRUE
"25","Wyoming","totalworkersh2a","Rural_Health_Clinics",0.067,0.01,TRUE
"26","South Dakota","totalworkersh2a","Critical Access Hospitals",-0.012,0.52,FALSE
"27","South Dakota","totalworkersh2a","Rural Health Clinics",-0.044,0.01,TRUE
"28","Colorado","totalworkersh2a","Community_Clinics",-0.219,0,TRUE
