Year,StateAbbr,state,county,Category,Measure,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,MeasureId,Short_Question_Text,Geolocation
2022,CO,Colorado,Adams,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,15.5,14.3,16.6,527575,398077,8001,ACCESS2,Health Insurance,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Prevention,Mammography use among women aged 50-74 years,Age-adjusted prevalence,64.9,57.6,71.7,527575,398077,8001,MAMMOUSE,Mammography,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Risk Behaviors,Short sleep duration among adults,Crude prevalence,34.2,30.4,38.3,527575,398077,8001,SLEEP,Short Sleep Duration,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Diagnosed diabetes among adults,Crude prevalence,9.6,8.4,10.9,527575,398077,8001,DIABETES,Diabetes,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Coronary heart disease among adults,Age-adjusted prevalence,5.3,4.8,5.9,527575,398077,8001,CHD,Coronary Heart Disease,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Vision disability among adults,Crude prevalence,5.6,5.1,6.2,527575,398077,8001,VISION,Vision Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Risk Behaviors,Current cigarette smoking among adults,Crude prevalence,15,13.2,16.9,527575,398077,8001,CSMOKING,Current Cigarette Smoking,POINT (-104.338130186949 39.8735915076236)
2021,CO,Colorado,Adams,Health Outcomes,High cholesterol among adults who have ever been screened,Age-adjusted prevalence,25,22.4,27.9,527575,398077,8001,HIGHCHOL,High Cholesterol,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Status,Fair or poor self-rated health status among adults,Crude prevalence,19,17.1,21.1,527575,398077,8001,GHLTH,General Health,POINT (-104.338130186949 39.8735915076236)
2021,CO,Colorado,Adams,Prevention,Cholesterol screening among adults,Age-adjusted prevalence,79.7,77.3,82.1,527575,398077,8001,CHOLSCREEN,Cholesterol Screening,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Risk Behaviors,Binge drinking among adults,Crude prevalence,18.1,15.5,20.8,527575,398077,8001,BINGE,Binge Drinking,POINT (-104.338130186949 39.8735915076236)
2021,CO,Colorado,Adams,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted prevalence,51.6,47.6,55.8,527575,398077,8001,BPMED,High Blood Pressure Medication,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Mobility disability among adults,Age-adjusted prevalence,11.1,9.8,12.5,527575,398077,8001,MOBILITY,Mobility Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Depression among adults,Age-adjusted prevalence,22.9,20.3,25.8,527575,398077,8001,DEPRESSION,Depression,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,All teeth lost among adults aged >=65 years,Age-adjusted prevalence,13.1,10.7,15.9,527575,398077,8001,TEETHLOST,All Teeth Lost,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Cancer (non-skin) or melanoma among adults,Crude prevalence,6.1,5.5,6.8,527575,398077,8001,CANCER,Cancer (non-skin) or Melanoma,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,64.9,57.7,71.7,527575,398077,8001,MAMMOUSE,Mammography,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Risk Behaviors,Current cigarette smoking among adults,Age-adjusted prevalence,14.8,13.1,16.6,527575,398077,8001,CSMOKING,Current Cigarette Smoking,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Risk Behaviors,Short sleep duration among adults,Age-adjusted prevalence,34,30.1,38,527575,398077,8001,SLEEP,Short Sleep Duration,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Coronary heart disease among adults,Crude prevalence,5,4.5,5.6,527575,398077,8001,CHD,Coronary Heart Disease,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Independent living disability among adults,Crude prevalence,7.8,7.1,8.7,527575,398077,8001,INDEPLIVE,Independent Living Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Arthritis among adults,Age-adjusted prevalence,22.1,19.9,24.5,527575,398077,8001,ARTHRITIS,Arthritis,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Prevention,Colorectal cancer screening among adults aged 45–75 years,Age-adjusted prevalence,52.8,48.7,56.9,527575,398077,8001,COLON_SCREEN,Colorectal Cancer Screening,POINT (-104.338130186949 39.8735915076236)
2021,CO,Colorado,Adams,Prevention,Cholesterol screening among adults,Crude prevalence,79.2,76.7,81.6,527575,398077,8001,CHOLSCREEN,Cholesterol Screening,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Status,Frequent physical distress among adults,Age-adjusted prevalence,12.9,11.5,14.4,527575,398077,8001,PHLTH,Frequent Physical Distress,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Hearing disability among adults,Crude prevalence,5.5,4.9,6.2,527575,398077,8001,HEARING,Hearing Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Any disability among adults,Age-adjusted prevalence,29.8,26.8,33.1,527575,398077,8001,DISABILITY,Any Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,12,9.8,14.6,527575,398077,8001,TEETHLOST,All Teeth Lost,POINT (-104.338130186949 39.8735915076236)
2021,CO,Colorado,Adams,Health Outcomes,High blood pressure among adults,Crude prevalence,24.8,22.5,27.5,527575,398077,8001,BPHIGH,High Blood Pressure,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Mobility disability among adults,Crude prevalence,10.8,9.6,12.1,527575,398077,8001,MOBILITY,Mobility Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Cancer (non-skin) or melanoma among adults,Age-adjusted prevalence,6.5,5.9,7.2,527575,398077,8001,CANCER,Cancer (non-skin) or Melanoma,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Status,Frequent mental distress among adults,Age-adjusted prevalence,18.4,16.7,20.2,527575,398077,8001,MHLTH,Frequent Mental Distress,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Stroke among adults,Crude prevalence,2.7,2.5,2.9,527575,398077,8001,STROKE,Stroke,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Prevention,Visited dentist or dental clinic in the past year among adults,Crude prevalence,57.2,54,60.4,527575,398077,8001,DENTAL,Dental Visit,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Depression among adults,Crude prevalence,23.3,20.6,26.2,527575,398077,8001,DEPRESSION,Depression,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Cognitive disability among adults,Age-adjusted prevalence,15.8,14.2,17.5,527575,398077,8001,COGNITION,Cognitive Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Obesity among adults,Age-adjusted prevalence,34,29.9,38.4,527575,398077,8001,OBESITY,Obesity,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Status,Frequent physical distress among adults,Crude prevalence,12.9,11.5,14.4,527575,398077,8001,PHLTH,Frequent Physical Distress,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Independent living disability among adults,Age-adjusted prevalence,7.9,7.1,8.7,527575,398077,8001,INDEPLIVE,Independent Living Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Prevention,Visits to doctor for routine checkup within the past year among adults,Age-adjusted prevalence,64.9,61.5,68.3,527575,398077,8001,CHECKUP,Annual Checkup,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Arthritis among adults,Crude prevalence,21,20.3,21.7,527575,398077,8001,ARTHRITIS,Arthritis,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Current asthma among adults,Crude prevalence,11.3,10,12.7,527575,398077,8001,CASTHMA,Current Asthma,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Hearing disability among adults,Age-adjusted prevalence,5.9,5.2,6.6,527575,398077,8001,HEARING,Hearing Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Prevention,Visited dentist or dental clinic in the past year among adults,Age-adjusted prevalence,57.7,54.5,60.9,527575,398077,8001,DENTAL,Dental Visit,POINT (-104.338130186949 39.8735915076236)
2021,CO,Colorado,Adams,Health Outcomes,High blood pressure among adults,Age-adjusted prevalence,25.5,23.1,28.2,527575,398077,8001,BPHIGH,High Blood Pressure,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Prevention,Colorectal cancer screening among adults aged 45–75 years,Crude prevalence,55.1,51,59.2,527575,398077,8001,COLON_SCREEN,Colorectal Cancer Screening,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Chronic obstructive pulmonary disease among adults,Crude prevalence,5.5,4.9,6.2,527575,398077,8001,COPD,COPD,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Self-care disability among adults,Crude prevalence,3.5,3.2,3.8,527575,398077,8001,SELFCARE,Self-care Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Any disability among adults,Crude prevalence,29.5,26.4,32.7,527575,398077,8001,DISABILITY,Any Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Stroke among adults,Age-adjusted prevalence,2.8,2.6,3.1,527575,398077,8001,STROKE,Stroke,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Cognitive disability among adults,Crude prevalence,16,14.4,17.7,527575,398077,8001,COGNITION,Cognitive Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Risk Behaviors,No leisure-time physical activity among adults,Crude prevalence,23.1,20.3,26.3,527575,398077,8001,LPA,Physical Inactivity,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Risk Behaviors,Binge drinking among adults,Age-adjusted prevalence,17.7,15.2,20.4,527575,398077,8001,BINGE,Binge Drinking,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Prevention,Visits to doctor for routine checkup within the past year among adults,Crude prevalence,64.2,60.7,67.7,527575,398077,8001,CHECKUP,Annual Checkup,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Vision disability among adults,Age-adjusted prevalence,5.7,5.2,6.2,527575,398077,8001,VISION,Vision Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Status,Frequent mental distress among adults,Crude prevalence,18.7,17,20.5,527575,398077,8001,MHLTH,Frequent Mental Distress,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Prevention,Current lack of health insurance among adults aged 18-64 years,Age-adjusted prevalence,16.1,14.5,17.8,527575,398077,8001,ACCESS2,Health Insurance,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Diagnosed diabetes among adults,Age-adjusted prevalence,9.8,8.6,11.1,527575,398077,8001,DIABETES,Diabetes,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Obesity among adults,Crude prevalence,34.2,30.1,38.6,527575,398077,8001,OBESITY,Obesity,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Current asthma among adults,Age-adjusted prevalence,11.2,10,12.6,527575,398077,8001,CASTHMA,Current Asthma,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Status,Fair or poor self-rated health status among adults,Age-adjusted prevalence,19.1,17.2,21.1,527575,398077,8001,GHLTH,General Health,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Risk Behaviors,No leisure-time physical activity among adults,Age-adjusted prevalence,23.3,20.4,26.4,527575,398077,8001,LPA,Physical Inactivity,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Self-care disability among adults,Age-adjusted prevalence,3.5,3.2,3.8,527575,398077,8001,SELFCARE,Self-care Disability,POINT (-104.338130186949 39.8735915076236)
