Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS28356,08E01132,BPS-H80-015056,Marillac Clinic-OUTREACH DAY CENTER,302 Pitkin Ave,Grand Junction,CO,81501-2415,970-200-1600,www.MarillacHealth.org,4,7,All Other Clinic Types,1,Active,61006,1093163800,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/1/2015,"MARILLAC CLINIC, INC.",2333 N 6th St,Grand Junction,CO,81501-2001,"Corporate Entity, Federal Tax Exempt",-108.5676474,39.06443403,N,N,8077,Mesa County,Mesa,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28361,08E00412,BPS-H80-017770,Lake County Dental,223 Harrison Ave,Leadville,CO,80461-3392,970-668-4055,,30,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,4/11/2016,"SUMMIT COMMUNITY CARE CLINIC, INC.",360 Peak One Dr STE 100,Frisco,CO,80443-5948,"Corporate Entity, Federal Tax Exempt",-106.2908846,39.24592562,N,N,8065,Lake County,Lake,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-039221,Valley-Wide Support Services- Lamar,3500 1st St S,Lamar,CO,81052-4327,800-511-5446,,54,7,All Other Clinic Types,1,Active,61060,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/15/2024,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-102.613435,38.0542719,N,N,8099,Prowers County,Prowers,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-039364,Clinica Family Health & Wellness -- Dixon Clinic,1455 Dixon Ave,Lafayette,CO,80026-8879,303-650-4460,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/21/2024,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.0927888,39.98600945,N,N,8013,Boulder County,Boulder,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC) Look-Alike,LALCS54746,08E01510,BPS-LAL-039880,"Uptown Community Health Center, Inc. Seton Women's Center","1960 N Ogden St, Suite 340",Denver,CO,80218-3669,303-318-3830,www.uptowncommunityhealth.org,40.5,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/1/2025,UPTOWN COMMUNITY HEALTH CENTER INC,1960 N OGDEN ST STE 300,DENVER,CO,80218,NA,-104.9747148,39.74665201,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26510,08E00393,BPS-H80-038259,Axis Health System - Gunnison,710 N Taylor St,Gunnison,CO,81230-2244,970-252-3200,,45,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/14/2024,"SOUTHWEST COLORADO MENTAL HEALTH CENTER, INC",150 Mercury Village Dr,Durango,CO,81301-8955,"Corporate Entity, Federal Tax Exempt",-106.9242944,38.55156683,N,N,8051,Gunnison County,Gunnison,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00801,80130,BPS-H80-019035,Salud Adams City High School,7200 Quebec Pkwy,Commerce City,CO,80022-4824,303-697-2583,,32,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/20/2016,"SALUD FAMILY HEALTH, INC.",203 S Rollie Ave,Fort Lupton,CO,80621-1508,"Corporate Entity, Federal Tax Exempt",-104.9027283,39.8272443,N,N,8001,Adams County,Adams,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00692,80170,BPS-H80-034416,Walsenburg OB Clinic,23450 US Highway 160,Walsenburg,CO,81089,719-543-8711,,2,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,4/4/2022,PUEBLO COMMUNITY HEALTH CENTER,310 Colorado Ave,Pueblo,CO,81004-2006,"Corporate Entity, Federal Tax Exempt",-104.8402773,37.59921726,N,N,8055,Huerfano County,Huerfano,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-034102,STRIDE CHC - Horizon Community Middle School,3981 S Reservoir Rd,Aurora,CO,80013-3804,303-778-7433,https://stridechc.org,42.5,2,School,1,Active,61052,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/14/2022,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-104.7705901,39.6441454,N,N,8005,Arapahoe County,Arapahoe,County            ,8,Region 8,8,Colorado,806,6,Colorado District 06,CO-06,Jason Crow,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-014120,Dental Center at Flagler,309 Pawnee Ave,Flagler,CO,80815-9286,719-765-4550,www.peakvista.org,18,7,All Other Clinic Types,1,Active,61882,1386063485,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,0,Unknown,4/30/2014,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-103.0640353,39.29162082,N,N,8063,Kit Carson County,Kit Carson,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
