state,abbrev,county,city,site_name,health_center_name,address,zip_code,geolocation
colorado,co,larimer,fort collins,salud fort collins blue spruce,"salud family health, inc",1635 blue spruce dr,80524,"40.61028176951384, -105.07248525277728"
colorado,co,larimer,loveland,loveland community health center/dental,sunrise community health,302 3rd st se,80537,"40.3902411634632, -105.07247037116407"
colorado,co,larimer,estes park,salud estes park,"salude family health, inc",1950 redtail hawk dr,80517,"40.38882134982074, -105.48908745092574"
colorado,co,weld,windsor,sunrise windsor clinic,sunrise community health,1039 main st unit g,80550,"40.478455511205816, -104.91543745092574"
colorado,co,weld,greeley,monfort children's clinic,sunris community health,100 n 11th ave,80631,"40.43442721307447, -104.69612566626947"
colorado,co,weld,evans,sunrise cesar chavez outreach program,sunrise community health,2930 11th ave,80620,"40.38873404408418, -104.69262177116407"
colorado,co,weld,frederick,salud frederick,"salud family health, inc",5995 iris pkwy,80530,"40.111875687314054, -104.94275357791015"
colorado,co,weld,fort lupton,salude mobile unit,"salud family health, inc",203 s rollie ave,80621,"40.07774683639799, -104.80585359325389"
colorado,co,morgan,fort morgan,salud fort morgan,"salud family health, inc",729 e railroad ave,80401,"40.24915323622999, -103.78957276441798"
colorado,co,adams,brighton,salud brighton,"salud family health, inc",1860 e egbert st,80601,"39.982925162498375, -104.79985255952337"
colorado,co,adams,commerce city,salud commerce city,"salud family health, inc",6255 north quebec st,80022,"39.81047071152249, -104.90398468958197"
colorado,co,arapahoe,aurora,salud aurora,"salud family health, inc",562 sable blvd ste 100,80011,"39.724392055547405, -104.81874860674608"
colorado,co,logan,sterling,salud sterling,"salud family health, inc",1410 s 7th ave,80751,"40.61201683311447, -103.22188572023829"
colorado,co,delta,delta,river valley family health center of delta,"olathe community clinic, inc",1250 valley view dr,81416,"38.60616902624744, -107.98377423558203"
colorado,co,montrose,olathe,"olathe community clinic, inc","olathe community clinic, inc",308 main st,81425,NA
colorado,co,chaffee,buena vista,valley-wide buena vista,"valley-wide health systems, inc",707 us highway 24 n,81211,"38.8475898407647, -106.13536293375695"
