state,county,population_(2020),building_value_($),agriculture_value_($),area_(sq_mi),national_risk_index_value_composite,national_risk_index_score_composite,national_risk_index_rating_composite,national_risk_index_state_percentile_composite,expected_annual_loss_score_composite,expected_annual_loss_rating_composite,expected_annual_loss_state_percentile_composite,expected_annual_loss_total_composite,expected_annual_loss_building_value_composite,expected_annual_loss_population_composite,expected_annual_loss_population_equivalence_composite,expected_annual_loss_agriculture_value_composite,expected_annual_loss_rate_building_composite,wildfire_number_of_events,wildfire_annualized_frequency,wildfire_exposure_impacted_area_(sq_mi),wildfire_exposure_building_value,wildfire_exposure_population,wildfire_exposure_population_equivalence,wildfire_exposure_agriculture_value,wildfire_exposure_total,wildfire_historic_loss_ratio_buildings,wildfire_historic_loss_ratio_population,wildfire_historic_loss_ratio_agriculture,wildfire_historic_loss_ratio_total_rating,wildfire_expected_annual_loss_building_value,wildfire_expected_annual_loss_population,wildfire_expected_annual_loss_population_equivalence,wildfire_expected_annual_loss_agriculture_value,wildfire_expected_annual_loss_total,wildfire_expected_annual_loss_score,wildfire_expected_annual_loss_rating,wildfire_expected_annual_loss_rate_building,wildfire_expected_annual_loss_rate_population,wildfire_expected_annual_loss_rate_agriculture,wildfire_expected_annual_loss_rate_national_percentile,wildfire_hazard_type_risk_index_value,wildfire_hazard_type_risk_index_score,wildfire_hazard_type_risk_index_rating,total_workers,maximum_temperature,mean_temperature
Colorado,Adams,519291,80465089100,145031175,1195.557927,80519228.84,94.17753738,Relatively Moderate,96.875,93.77901578,Relatively Moderate,93.75,68812491.3,58658246.67,0.825606144,9577031.274,577213.3602,7.29e-4,NA,1.92e-4,44.48865982,3567740125,19937.65495,231000000000,9689205.446,235000000000,0.4,6.77e-5,0.013579329,Very Low,134699.841,1.06e-4,1227.999649,31.44026482,135959.2809,68.37416481,Relatively Low,1.67e-6,2.04e-10,2.17e-7,36.0165447,116878.1751,65.12885778,Relatively Low,648,82.6,82.9
Colorado,Alamosa,16357,7863466114,102476261,730.5922584,4051514.423,34.33025772,Very Low,65.625,26.15289384,Very Low,53.125,2736135.646,1998944.516,0.05212279,604624.3633,132566.7666,2.54e-4,NA,1.22e-4,34.18938998,1832614174,3783.52964,43888943826,21270722.16,45742828722,0.4,2.57e-6,1.61e-4,Relatively Moderate,51780.9851,2.97e-7,3.442612121,0.312046329,51784.73976,55.01113586,Very Low,6.59e-6,1.81e-11,3.05e-9,53.61119949,70092.55316,58.19280942,Very Low,38,82.9,77.6
Colorado,Arapahoe,654201,107000000000,30591685,813.637587,101715241.8,95.16385619,Relatively Moderate,100,95.79077685,Relatively High,98.4375,103506800.2,94344992.82,0.787842427,9138972.156,22835.21295,8.86e-4,NA,1.53e-4,29.50579627,6870575637,35705.46881,414000000000,2769456.641,421000000000,0.4,6.77e-5,0.013579329,Very Low,131522.0456,9.85e-5,1142.455463,7.046906964,132671.5479,67.96054725,Relatively Low,1.23e-6,1.51e-10,2.3e-7,27.076042,102771.0538,63.60165447,Very Low,28,87.2,85.2
Colorado,Baca,3490,833220714,130839415,2583.181676,1072686.352,5.79064588,Very Low,17.1875,4.952027236,Very Low,15.625,811530.6817,389356.604,0.02548417,295616.3758,126557.7019,4.67e-4,NA,0.002137419,74.86165566,91185300.82,358.7249163,4161209029,16521611.45,4268915942,0.4,0.001375038,0.003260597,Relatively Moderate,86685.81218,0.001228475,14250.31264,123.0467521,101059.1716,64.33343939,Relatively Low,1.04e-4,3.52e-7,9.4e-7,83.55074769,132063.352,66.08335985,Relatively Low,8,91,89.2
Colorado,Bent,5639,1108958577,69741709,1556.6447,1471175.41,8.622335348,Very Low,26.5625,6.344784896,Very Low,20.3125,979155.2893,482502.098,0.026281601,304866.5762,191786.6151,4.35e-4,NA,0.001080059,23.58927391,233679879.6,2021.233092,23446303869,31989000.33,23711972749,0.4,7.67e-5,0.003260597,Very Low,103213.427,1.63e-4,1892.935863,160.8972404,105267.2601,65.00159084,Relatively Low,9.31e-5,2.89e-8,2.31e-6,80.08272351,153987.9125,67.80146357,Relatively Low,13,91.3,89.8
Colorado,Boulder,330652,62233133388,50349802,747.9461882,42668693.04,89.50047725,Relatively Moderate,90.625,91.21015166,Relatively Moderate,90.625,44983878.87,35060671.47,0.843289675,9782160.229,141047.1638,5.63e-4,NA,0.003523367,23.61250711,6690556538,26910.86295,312000000000,6428955.472,319000000000,0.4,6.77e-5,0.013579329,Relatively Low,7833630.312,0.00535882,62162.31003,183.831383,7895976.454,97.45466115,Relatively High,1.26e-4,1.62e-8,3.65e-6,83.29621381,6722151.879,96.72287623,Relatively Moderate,188,77.8,77.7
Colorado,Cheyenne,1748,635761536,102255747,1799.413235,999121.2188,5.217944639,Very Low,14.0625,6.097183535,Very Low,17.1875,954751.4833,447610.258,0.018804267,218129.4958,289011.7296,7.04e-4,NA,1.52e-4,32.95034582,22309514.37,56.80794915,658972210.1,5026707.446,686308431.9,0.4,2.18e-4,0.013579329,Relatively High,2490.84066,4.3e-6,49.91522105,13.28238923,2554.03827,8.208717786,Very Low,3.92e-6,2.46e-9,1.3e-7,49.02958956,2672.73094,6.936048361,Very Low,23,89.1,87.1
Colorado,Conejos,7453,1839089192,61851888,1304.026974,1150938.873,6.204263443,Very Low,18.75,3.899721448,Very Low,14.0625,695591.3293,214856.185,0.037117928,430567.9663,50167.17805,1.17e-4,NA,1.81e-4,30.31352331,380121121.2,1474.924107,17109119640,10928175.09,17500168936,0.4,2.57e-6,0.013579329,Relatively Moderate,40458.59998,4.67e-7,5.415482982,30.09547012,40494.11094,51.19312759,Very Low,2.2e-5,6.26e-11,4.87e-7,64.81069042,66566.87256,57.30194082,Very Low,9,76.3,71.9
Colorado,Costilla,3420,1034056438,25305656,1243.42967,898804.9585,4.295259306,Very Low,10.9375,2.414113278,Very Low,6.25,513900.2106,286273.3449,0.015453811,179264.2122,48362.65349,2.77e-4,NA,6.8e-4,15.77010739,297890126.4,1048.160169,12158657959,4862159.334,12461410245,0.4,4.14e-6,0.013579329,Relatively High,135252.4362,3.66e-6,42.44007511,36.82039851,135331.6967,68.34234808,Relatively Low,1.31e-4,1.07e-9,1.46e-6,83.83709831,240025.7395,72.57397391,Relatively Low,13,78.7,74
Colorado,Delta,31182,5813568607,76978994,1160.20233,2317128.375,16.57651925,Very Low,39.0625,16.15598886,Very Low,39.0625,1934061.105,711982.7043,0.101809162,1180986.278,41092.1225,1.22e-4,NA,6.41e-4,31.83626092,1422929605,7030.672427,81555800152,16924008.2,82995653765,0.4,5.45e-6,6.43e-5,Relatively Low,387266.4638,2.51e-5,291.3083381,0.694826368,387558.467,79.12822144,Relatively Low,6.66e-5,8.05e-10,9.03e-9,77.1237671,434607.0529,78.30098632,Relatively Low,223,83.9,79.6
