id,state,abbrev,county,Population2020,BuildingValue,Areasqmi,NationalRiskIndexValueComposite,NationalRiskIndexScoreComposite,NationalRiskIndexRatingComposite,ExpectedAnnualLossScoreComposite,ExpectedAnnualLossRatingComposite,ExpectedAnnualLossTotalComposite,ExpectedAnnualLossBuildingValueComposite,ExpectedAnnualLossPopulationComposite,ExpectedAnnualLossPopulationEquivalenceComposite,SocialVulnerabilityScore,SocialVulnerabilityRating,CommunityResilienceScore,CommunityResilienceRating,CommunityResilienceValue,CommunityRiskFactorValue,AvalancheHistoricLossRatioTotalRating,AvalancheExpectedAnnualLossRating,AvalancheHazardTypeRiskIndexRating,ColdWaveExposureImpactedAreasqmi,ColdWaveHistoricLossRatioTotalRating,ColdWaveExpectedAnnualLossRating,ColdWaveHazardTypeRiskIndexRating,DroughtExposureImpactedAreasqmi,DroughtHistoricLossRatioTotalRating,DroughtExpectedAnnualLossRating,DroughtHazardTypeRiskIndexRating,EarthquakeExposureImpactedAreasqmi,EarthquakeExposureBuildingValue,EarthquakeExposurePopulation,EarthquakeExposurePopulationEquivalence,EarthquakeExposureTotal,EarthquakeHistoricLossRatioBuildings,EarthquakeHistoricLossRatioTotalRating,EarthquakeExpectedAnnualLossBuildingValue,EarthquakeExpectedAnnualLossPopulationEquivalence,EarthquakeExpectedAnnualLossTotal,EarthquakeExpectedAnnualLossScore,EarthquakeExpectedAnnualLossRating,EarthquakeHazardTypeRiskIndexValue,EarthquakeHazardTypeRiskIndexScore,EarthquakeHazardTypeRiskIndexRating,HailNumberofEvents,HailAnnualizedFrequency,HailExposureImpactedAreasqmi,HailExposureBuildingValue,HailExposurePopulation,HailExposurePopulationEquivalence,HailExposureTotal,HailHistoricLossRatioTotalRating,HailExpectedAnnualLossBuildingValue,HailExpectedAnnualLossPopulationEquivalence,HailExpectedAnnualLossTotal,HailExpectedAnnualLossScore,HailExpectedAnnualLossRating,HailHazardTypeRiskIndexValue,HailHazardTypeRiskIndexScore,HailHazardTypeRiskIndexRating,HeatWaveExposureImpactedAreasqmi,HeatWaveHistoricLossRatioTotalRating,HeatWaveExpectedAnnualLossRating,HeatWaveHazardTypeRiskIndexRating,IceStormAnnualizedFrequency,IceStormExposureImpactedAreasqmi,IceStormExposureBuildingValue,IceStormExposurePopulation,IceStormExposurePopulationEquivalence,IceStormExposureTotal,IceStormHistoricLossRatioTotalRating,IceStormExpectedAnnualLossBuildingValue,IceStormExpectedAnnualLossPopulationEquivalence,IceStormExpectedAnnualLossTotal,IceStormExpectedAnnualLossScore,IceStormExpectedAnnualLossRating,IceStormHazardTypeRiskIndexValue,IceStormHazardTypeRiskIndexScore,IceStormHazardTypeRiskIndexRating,LandslideHistoricLossRatioTotalRating,LandslideExpectedAnnualLossRating,LandslideHazardTypeRiskIndexRating,LightningNumberofEvents,LightningAnnualizedFrequency,LightningExposureImpactedAreasqmi,LightningExposureBuildingValue,LightningExposurePopulation,LightningExposurePopulationEquivalence,LightningExposureTotal,LightningHistoricLossRatioTotalRating,LightningExpectedAnnualLossBuildingValue,LightningExpectedAnnualLossPopulationEquivalence,LightningExpectedAnnualLossTotal,LightningExpectedAnnualLossScore,LightningExpectedAnnualLossRating,LightningHazardTypeRiskIndexValue,LightningHazardTypeRiskIndexScore,LightningHazardTypeRiskIndexRating,RiverineFloodingHistoricLossRatioTotalRating,RiverineFloodingExpectedAnnualLossRating,RiverineFloodingHazardTypeRiskIndexRating,StrongWindNumberofEvents,StrongWindAnnualizedFrequency,StrongWindExposureImpactedAreasqmi,StrongWindExposureBuildingValue,StrongWindExposurePopulation,StrongWindExposurePopulationEquivalence,StrongWindExposureTotal,StrongWindHistoricLossRatioTotalRating,StrongWindExpectedAnnualLossBuildingValue,StrongWindExpectedAnnualLossPopulationEquivalence,StrongWindExpectedAnnualLossTotal,StrongWindExpectedAnnualLossScore,StrongWindExpectedAnnualLossRating,StrongWindHazardTypeRiskIndexValue,StrongWindHazardTypeRiskIndexScore,StrongWindHazardTypeRiskIndexRating,TornadoAnnualizedFrequency,TornadoExposureImpactedAreasqmi,TornadoExposureBuildingValue,TornadoExposurePopulation,TornadoExposurePopulationEquivalence,TornadoExposureTotal,TornadoHistoricLossRatioTotalRating,TornadoExpectedAnnualLossBuildingValue,TornadoExpectedAnnualLossPopulationEquivalence,TornadoExpectedAnnualLossTotal,TornadoExpectedAnnualLossScore,TornadoExpectedAnnualLossRating,TornadoHazardTypeRiskIndexValue,TornadoHazardTypeRiskIndexScore,TornadoHazardTypeRiskIndexRating,WildfireExposureImpactedAreasqmi,WildfireExposureBuildingValue,WildfireExposurePopulation,WildfireExposurePopulationEquivalence,WildfireExposureTotal,WildfireHistoricLossRatioTotalRating,WildfireExpectedAnnualLossBuildingValue,WildfireExpectedAnnualLossPopulationEquivalence,WildfireExpectedAnnualLossTotal,WildfireExpectedAnnualLossScore,WildfireExpectedAnnualLossRating,WildfireHazardTypeRiskIndexValue,WildfireHazardTypeRiskIndexScore,WildfireHazardTypeRiskIndexRating,WinterWeatherNumberofEvents,WinterWeatherAnnualizedFrequency,WinterWeatherExposureImpactedAreasqmi,WinterWeatherExposureBuildingValue,WinterWeatherExposurePopulation,WinterWeatherExposurePopulationEquivalence,WinterWeatherExposureTotal,WinterWeatherHistoricLossRatioTotalRating,WinterWeatherExpectedAnnualLossBuildingValue,WinterWeatherExpectedAnnualLossPopulationEquivalence,WinterWeatherExpectedAnnualLossTotal,WinterWeatherExpectedAnnualLossScore,WinterWeatherExpectedAnnualLossRating,WinterWeatherHazardTypeRiskIndexValue,WinterWeatherHazardTypeRiskIndexScore,WinterWeatherHazardTypeRiskIndexRating
1,Colorado,CO,Adams,519291,80465089100,1195.558,80519228.84,94.178,Relatively Moderate,93.779,Relatively Moderate,68812491.3,58658246.67,0.826,9577031.274,68.94,Relatively High,64.42,Relatively High,2.654,1.17,Not Applicable,Not Applicable,Not Applicable,1195.558,Very Low,Relatively High,Relatively High,1195.558,Very Low,Relatively Low,Very Low,1195.558,80464052000,519572,6030000000000,6110000000000,0.032,Relatively Low,728633.8,129343.498,857977.299,77.221,Relatively Low,1053751.841,79.796,Relatively Low,285,8.379,1195.558,80465089100,519291,6020000000000,6100000000000,Relatively High,51419680.49,705223.198,52492096.1,99.845,Very High,61400468.4,99.873,Very High,1195.558,No Rating,No Expected Annual Losses,No Rating,0.026,1195.558,80465089100,519291,6020000000000,6100000000000,Relatively Moderate,70814.861,262404.811,333219.673,83.811,Relatively Moderate,388106.75,84.211,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,698,31.712,1195.558,80465089100,519291,6020000000000,6100000000000,Relatively Moderate,45046.249,1209760.555,1254806.805,96.364,Relatively High,1512782.413,96.718,Relatively High,Very Low,Relatively Low,Relatively Low,52,1.509,1195.558,80465089100,519291,6020000000000,6100000000000,Very Low,234482.044,206275.802,440827.345,60.794,Relatively Moderate,510732.168,59.561,Relatively Moderate,1.515,1195.558,80465089100,519291,6020000000000,6100000000000,Very Low,5615339.116,5743239.558,11365150.51,95.347,Relatively High,13291359.98,95.673,Relatively High,44.489,3567740125,19937.655,231000000000,235000000000,Very Low,134699.841,1228,135959.281,68.374,Relatively Low,116878.175,65.129,Relatively Low,72.991,4.52,1195.558,80465089100,519291,6020000000000,6100000000000,Very Low,157967.684,18744.01,176733.771,80.409,Relatively Moderate,203898.727,79.669,Relatively Moderate
2,Colorado,CO,Alamosa,16357,7863466114,730.592,4051514.423,34.33,Very Low,26.153,Very Low,2736135.646,1998944.516,0.052,604624.363,98.06,Very High,36.12,Relatively Low,2.542,1.481,Relatively Moderate,Very Low,Very Low,730.592,Very Low,Relatively Low,Relatively Moderate,730.592,Very Low,Relatively Low,Relatively Low,730.592,7863403000,16376,190000000000,198000000000,0.159,Very High,1611078.8,447185.375,2058264.175,86.382,Relatively Low,3079031.876,89.787,Relatively Low,30,0.853,730.592,7863466114,16357,190000000000,198000000000,Relatively High,116208.653,969.596,134998.345,59.553,Relatively Low,199530.181,62.965,Relatively Low,730.592,No Rating,No Expected Annual Losses,No Rating,0.015,730.592,7863466114,16357,190000000000,198000000000,Relatively Moderate,51.758,2955.687,3007.445,8.561,Very Low,4562.647,10.426,Very Low,Very High,Very Low,Very Low,225,10.191,730.592,7863466114,16357,190000000000,198000000000,Relatively High,2717.52,37721.642,40439.163,25.997,Relatively Low,60928.22,31.821,Relatively Low,Relatively Moderate,Very Low,Very Low,2,0.053,730.592,7863466114,16357,190000000000,198000000000,Relatively Low,1563.476,903.931,2468.538,4.001,Very Low,3663.568,1.623,Very Low,0.053,730.592,7863466114,16357,190000000000,198000000000,Relatively Low,83926.209,16166.777,100280.232,15.788,Very Low,151142.086,15.717,Very Low,34.189,1832614174,3783.53,43888943826,45742828722,Relatively Moderate,51780.985,3.443,51784.74,55.011,Very Low,70092.553,58.193,Very Low,18.036,1.117,730.592,7863466114,16357,190000000000,198000000000,Very Low,1619.196,2539.621,4167.164,10.399,Very Low,6220.575,9.386,Very Low
3,Colorado,CO,Arapahoe,654201,107000000000,813.638,101715241.8,95.164,Relatively Moderate,95.791,Relatively High,103506800.2,94344992.82,0.788,9138972.156,41.31,Relatively Moderate,61.43,Relatively High,2.642,0.983,Not Applicable,Not Applicable,Not Applicable,813.634,Very Low,Relatively High,Relatively High,813.634,Very Low,Very Low,Very Low,813.634,107000000000,655070,7600000000000,7710000000000,0.025,Relatively Low,728116.4,141324.291,869440.691,77.499,Relatively Low,904416.992,78.174,Relatively Low,301,8.83,813.634,107000000000,654201,7590000000000,7700000000000,Relatively High,76822615.91,2022889.4,78848463.23,99.907,Very High,77135135.7,99.905,Very High,813.634,No Rating,No Expected Annual Losses,No Rating,0.026,813.634,107000000000,654201,7590000000000,7700000000000,Relatively Moderate,91721.786,326204.399,417926.185,86.476,Relatively High,430653.848,85.443,Relatively High,Very Low,Relatively Low,Relatively Low,835,37.909,813.634,107000000000,654201,7590000000000,7700000000000,Very Low,94753.51,415250.7,510004.21,88.417,Relatively High,521048.033,87.033,Relatively Moderate,Very Low,Relatively Low,Relatively Low,51,1.499,813.634,107000000000,654201,7590000000000,7700000000000,Very Low,178208.581,465481.499,643763.491,72.643,Relatively Moderate,661415.522,68.247,Relatively Moderate,0.848,813.638,107000000000,654201,7590000000000,7700000000000,Relatively Low,15942286.44,4511629.114,20455809.36,97.612,Relatively High,20288638.92,97.391,Relatively High,29.506,6870575637,35705.469,414000000000,421000000000,Very Low,131522.046,1142.455,132671.548,67.961,Relatively Low,102771.054,63.602,Very Low,75.248,4.659,813.634,107000000000,654201,7590000000000,7700000000000,Very Low,239499.036,14526.595,254030.303,86.289,Relatively High,246796.537,82.914,Relatively Moderate
4,Colorado,CO,Archuleta,13356,3378025901,1369.076,2103639.092,14.986,Very Low,15.289,Very Low,1860535.053,1423978.639,0.037,427602.821,28.36,Relatively Low,30.24,Relatively Low,2.518,1.131,Very Low,Relatively Low,Very Low,1369.076,Relatively Low,Very Low,Very Low,1369.076,Very Low,Very Low,Very Low,1369.076,3377967000,13359,155000000000,158000000000,0.038,Relatively Moderate,94772.8,13862.277,108635.077,46.085,Very Low,124325.604,46.293,Very Low,6,0.154,1369.076,3378025901,13356,155000000000,158000000000,Relatively Low,991.178,718.483,2115.005,5.831,Very Low,2426.412,3.723,Very Low,1369.076,No Rating,No Expected Annual Losses,No Rating,0.015,1369.076,3378025901,13356,155000000000,158000000000,Relatively Moderate,22.234,2413.411,2435.645,7.295,Very Low,2748.285,6.596,Very Low,Very Low,Relatively Low,Relatively Moderate,760,34.538,1369.076,3378025901,13356,155000000000,158000000000,Relatively High,5747.897,152018.481,157766.378,67.761,Relatively Moderate,177263.087,66.055,Relatively Low,Very Low,Very Low,Very Low,3,0.07,1369.076,3378025901,13356,155000000000,158000000000,Relatively High,3898.529,10735.717,14634.732,7.816,Very Low,16616.466,5.027,Very Low,0.061,1369.076,3378025901,13356,155000000000,158000000000,Relatively Low,20535.243,19603.582,40229.41,10.577,Very Low,45906.244,8.304,Very Low,14.592,1734957719,7370.665,85499709793,87241649966,Relatively Moderate,1265624.243,428.374,1266054.16,88.514,Relatively Moderate,1419228.372,88.196,Relatively Moderate,296.514,18.36,1369.076,3378025901,13356,155000000000,158000000000,Very Low,5889.029,28888.047,34805.1,42.742,Relatively Low,38710.918,39.453,Relatively Low
5,Colorado,CO,Baca,3490,833220714,2583.182,1072686.352,5.791,Very Low,4.952,Very Low,811530.682,389356.604,0.025,295616.376,55.22,Relatively Moderate,13.18,Very Low,2.438,1.322,Not Applicable,Not Applicable,Not Applicable,2583.182,Relatively Low,Relatively Low,Relatively Low,2583.182,Very Low,Relatively Low,Relatively Low,2583.182,833200000,3506,40669600000,41502800000,0.015,Very Low,2312.6,418.03,2730.63,7.026,Very Low,3636.803,7.954,Very Low,155,4.541,2583.182,833220714,3490,40484000000,41448060129,Relatively Moderate,33460.637,4462.226,81629.322,49.007,Relatively Low,107045.682,49.793,Relatively Low,2583.182,No Rating,No Expected Annual Losses,No Rating,0.084,2583.182,833220714,3490,40484000000,41317220714,Relatively High,13971.078,5036.941,19008.019,29.747,Relatively Low,25264.687,32.045,Relatively Low,Relatively High,Very Low,Very Low,694,31.503,2583.182,833220714,3490,40484000000,41317220714,Relatively High,131.149,28227.295,28358.444,19.048,Very Low,37725.163,20.978,Very Low,Very High,Very Low,Very Low,58,1.68,2583.182,833220714,3490,40484000000,41448060129,Relatively High,140172.799,71061.326,211668.905,38.431,Relatively Low,281627.146,39.93,Relatively Low,1.324,2583.182,833220714,3490,40484000000,41448060129,Relatively Low,99530.36,104098.591,207825.564,23.139,Very Low,276327.599,22.367,Very Low,74.862,91185300.82,358.725,4161209029,4268915942,Relatively Moderate,86685.812,14250.313,101059.172,64.333,Relatively Low,132063.352,66.083,Relatively Low,36.001,2.229,2583.182,833220714,3490,40484000000,41448060129,Relatively High,12618.765,43035.608,55696.141,53.637,Relatively Moderate,74041.2,55.616,Relatively Low
6,Colorado,CO,Bent,5639,1108958577,1556.645,1471175.41,8.622,Very Low,6.345,Very Low,979155.289,482502.098,0.026,304866.576,81.19,Very High,2.51,Very Low,2.325,1.502,Not Applicable,Not Applicable,Not Applicable,1556.645,Very Low,Relatively Low,Relatively Low,1556.645,Very Low,Very Low,Very Low,1556.645,1108940000,5650,65540000000,66648940000,0.014,Very Low,3402.4,877.352,4279.752,10.059,Very Low,6230.626,12.472,Very Low,119,3.476,1556.645,1108958577,5639,65412400000,66591100286,Relatively High,197531.22,5355.28,228506.514,69.727,Relatively Low,346506.48,73.974,Relatively Low,1556.645,No Rating,No Expected Annual Losses,No Rating,0.015,1556.645,1108958577,5639,65412400000,66521358577,Relatively Moderate,663.251,1018.959,1682.211,5.33,Very Low,2484.448,6.129,Very Low,Relatively High,Very Low,Very Low,646,29.345,1556.645,1108958577,5639,65412400000,66521358577,Relatively High,524.98,49910.435,50435.414,31.757,Relatively Low,73465.514,38.674,Relatively Low,Relatively Moderate,Very Low,Relatively Low,34,0.985,1556.645,1108958577,5639,65412400000,66591100286,Relatively High,46791.242,66677.577,113486.698,25.775,Relatively Low,168013.039,27.044,Relatively Low,1.172,1556.645,1108958577,5639,65412400000,66591100286,Relatively Low,104107.854,138792.226,250530.086,25,Very Low,371996.016,26.122,Very Low,23.589,233679879.6,2021.233,23446303869,23711972749,Very Low,103213.427,1892.936,105267.26,65.002,Relatively Low,153987.912,67.801,Relatively Low,26.003,1.61,1556.645,1108958577,5639,65412400000,66591100286,Relatively Moderate,3776.249,13541.134,17333.792,27.143,Relatively Low,25436.846,29.399,Relatively Low
7,Colorado,CO,Boulder,330652,62233133388,747.946,42668693.04,89.5,Relatively Moderate,91.21,Relatively Moderate,44983878.87,35060671.47,0.843,9782160.229,21.2,Relatively Low,71.01,Relatively High,2.678,0.949,Relatively Low,Relatively Moderate,Relatively Low,747.946,Very Low,Relatively High,Relatively High,747.946,Very Low,Very Low,Very Low,747.946,62232352000,330758,3840000000000,3900000000000,0.022,Relatively Low,656198.7,95015.869,751214.569,76.137,Relatively Low,739092.826,75.978,Relatively Low,192,5.636,747.946,62233133388,330652,3840000000000,3900000000000,Relatively Low,293897.304,784632.359,1175748.509,91.377,Relatively Moderate,1125190.97,89.819,Relatively Moderate,747.946,No Rating,No Expected Annual Losses,No Rating,0.015,747.946,62233133388,330652,3840000000000,3900000000000,Relatively High,52810.795,162807.462,215618.257,77.582,Relatively Moderate,206436.051,73.751,Relatively Moderate,Very Low,Relatively High,Relatively High,546,24.79,747.946,62233133388,330652,3840000000000,3900000000000,Relatively Moderate,8101.986,1326723.594,1334825.58,96.622,Relatively High,1265733.23,96.01,Relatively High,Relatively Low,Relatively High,Relatively High,35,1.027,747.946,62233133388,330652,3840000000000,3900000000000,Relatively Low,549524.841,1015253.874,1564908.49,89.857,Relatively High,1500049.299,88.037,Relatively High,0.671,747.946,62233133388,330652,3840000000000,3900000000000,Relatively Low,7987429.65,3356827.444,11345672.93,95.316,Relatively High,10836432.26,94.018,Relatively High,23.613,6690556538,26910.863,312000000000,319000000000,Relatively Low,7833630.312,62162.31,7895976.454,97.455,Relatively High,6722151.879,96.723,Relatively Moderate,125.566,7.775,747.946,62233133388,330652,3840000000000,3900000000000,Very Low,140364.766,35081.342,175454.931,80.192,Relatively Moderate,166384.252,75.978,Relatively Moderate
8,Colorado,CO,Broomfield,74051,14509079514,33.887,11010997.25,67.292,Relatively Low,74.404,Relatively Low,13614278.29,8048787.972,0.48,5563694.513,6.91,Very Low,72.92,Relatively High,2.684,0.809,Not Applicable,Not Applicable,Not Applicable,33.887,Relatively Low,Very High,Very High,33.887,Very Low,Very Low,Very Low,33.887,14508910000,74112,860000000000,874000000000,0.022,Relatively Low,122942.7,12130.046,135072.746,50.232,Very Low,113747.409,44.543,Very Low,220,6.463,33.887,14509079514,74051,859000000000,874000000000,Relatively High,4678997.014,178453.68,4859059.903,98.263,Relatively High,3883340.386,97.486,Relatively High,33.887,No Rating,No Expected Annual Losses,No Rating,0.015,33.887,14509079514,74051,859000000000,874000000000,Relatively High,12312.348,36461.462,48773.81,47.402,Relatively Low,39685.081,40.373,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,477,21.64,33.887,14509079514,74051,859000000000,874000000000,Relatively High,85.2,526209.118,526294.318,88.803,Relatively High,429291.68,84.138,Relatively Moderate,Relatively Low,Very Low,Very Low,42,1.216,33.887,14509079514,74051,859000000000,874000000000,Relatively Moderate,852439.045,192463.345,1044926.425,83.685,Relatively Moderate,838276.004,75.056,Relatively Moderate,0.031,33.887,14509079514,74051,859000000000,874000000000,Relatively High,1913899.647,771738.633,2685655.748,77.016,Relatively Moderate,2159957.125,67.547,Relatively Low,0.934,939218187.8,4170.314,48375644334,49314894793,Relatively Low,201758.619,1599.659,203358.434,72.415,Relatively Low,171952.454,69.201,Relatively Low,77.73,4.813,33.887,14509079514,74051,859000000000,874000000000,Relatively Low,212163.878,76386.417,288550.404,87.806,Relatively High,233044.79,81.801,Relatively Moderate
9,Colorado,CO,Chaffee,19470,4941813952,1025.199,1958139.204,13.49,Very Low,13.123,Very Low,1684786.166,762903.237,0.078,899626.759,62.03,Relatively High,47.64,Relatively Moderate,2.589,1.162,Relatively High,Relatively Moderate,Relatively Moderate,1025.199,Very Low,Relatively Low,Relatively Low,1025.199,Very Low,Very Low,Very Low,1025.199,4941735000,19476,226000000000,231000000000,0.031,Relatively Low,117669.9,12651.345,130321.245,49.613,Very Low,155310.892,50.111,Very Low,39,1.122,1025.199,4941813952,19470,226000000000,231000000000,Relatively Moderate,143133.424,2413.737,150240.18,61.756,Relatively Low,181996.579,61.47,Relatively Low,1025.199,No Rating,No Expected Annual Losses,No Rating,0.015,1025.199,4941813952,19470,226000000000,231000000000,Relatively High,15977.733,3518.202,19495.935,30.147,Relatively Low,23561.41,30.879,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,416,18.87,1025.199,4941813952,19470,226000000000,231000000000,Very High,6856.067,247477.01,254333.077,77.864,Relatively Moderate,305812.283,78.636,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,5,0.132,1025.199,4941813952,19470,226000000000,231000000000,Relatively Moderate,12840.683,24368.792,37212.183,13.089,Very Low,44828.351,10.722,Very Low,0.081,1025.199,4941813952,19470,226000000000,231000000000,Relatively Low,69982.507,41697.529,111743.483,16.47,Very Low,135274.212,14.858,Very Low,5.081,666795445.2,2739.706,31780593580,32449471963,Relatively Low,214428.116,143.888,214572.319,73.115,Relatively Low,247993.429,72.956,Relatively Low,112.535,6.968,1025.199,4941813952,19470,226000000000,231000000000,Very Low,837.734,447.788,1289.357,5.911,Very Low,1506.453,3.245,Very Low
10,Colorado,CO,Cheyenne,1748,635761536,1799.413,999121.219,5.218,Very Low,6.097,Very Low,954751.483,447610.258,0.019,218129.496,6.08,Very Low,26.93,Relatively Low,2.504,1.046,Not Applicable,Not Applicable,Not Applicable,1799.413,Relatively Low,Relatively Moderate,Relatively Moderate,1799.413,Very Low,Relatively Low,Relatively Low,1799.413,635748000,1748,20276800000,20912548000,0.015,Relatively Low,1826.1,229.936,2056.036,5.447,Very Low,2151.586,5.409,Very Low,226,6.63,1799.413,635761536,1748,20276800000,21014817283,Relatively High,157707.72,7574.908,301524.332,74.938,Relatively Low,315536.936,72.097,Relatively Low,1799.413,No Rating,No Expected Annual Losses,No Rating,0.022,1799.413,635761536,1748,20276800000,20912561536,Relatively High,674.381,570.283,1244.664,4.231,Very Low,1302.506,3.531,Very Low,No Rating,No Expected Annual Losses,No Rating,673,30.554,1799.413,635761536,1748,20276800000,20912561536,Relatively High,1443.843,17038.314,18482.157,12.291,Very Low,19341.07,10.714,Very Low,Relatively Low,Very Low,Very Low,87,2.55,1799.413,635761536,1748,20276800000,21014817283,Relatively High,65521.12,59628.056,125263.466,27.481,Relatively Low,131084.778,22.781,Relatively Low,2.175,1799.413,635761536,1748,20276800000,21014817283,Relatively Low,90309.431,60017.25,155104.515,19.82,Very Low,162312.618,16.449,Very Low,32.95,22309514.37,56.808,658972210.1,686308431.9,Relatively High,2490.841,49.915,2554.038,8.209,Very Low,2672.731,6.936,Very Low,55.003,3.406,1799.413,635758558.2,1747.991,20276696469,21014710775,Very High,53465.571,18947.155,72462.069,60.569,Relatively Moderate,75829.566,56.252,Relatively Low
