state,abbrev,county,ColdWaveExposureImpactedAreasqmi,ColdWaveHistoricLossRatioTotalRating,ColdWaveExpectedAnnualLossRating,ColdWaveHazardTypeRiskIndexRating,DroughtExposureImpactedAreasqmi,DroughtHistoricLossRatioTotalRating,DroughtExpectedAnnualLossRating,DroughtHazardTypeRiskIndexRating,HailNumberofEvents,HailAnnualizedFrequency,HailExposureImpactedAreasqmi,HailExposureBuildingValue,HailExposurePopulation,HailExposureTotal,HailHistoricLossRatioTotalRating,HailExpectedAnnualLossBuildingValue,HailExpectedAnnualLossTotal,HailExpectedAnnualLossScore,HailExpectedAnnualLossRating,HailHazardTypeRiskIndexValue,HailHazardTypeRiskIndexScore,HailHazardTypeRiskIndexRating,HeatWaveExposureImpactedAreasqmi,HeatWaveHistoricLossRatioTotalRating,HeatWaveExpectedAnnualLossRating,HeatWaveHazardTypeRiskIndexRating,IceStormAnnualizedFrequency,IceStormExposureImpactedAreasqmi,IceStormExposureBuildingValue,IceStormExposurePopulation,IceStormExposureTotal,IceStormHistoricLossRatioTotalRating,IceStormExpectedAnnualLossBuildingValue,IceStormExpectedAnnualLossTotal,IceStormExpectedAnnualLossScore,IceStormExpectedAnnualLossRating,IceStormHazardTypeRiskIndexValue,IceStormHazardTypeRiskIndexScore,IceStormHazardTypeRiskIndexRating,LandslideHistoricLossRatioTotalRating,LandslideExpectedAnnualLossRating,LandslideHazardTypeRiskIndexRating,LightningNumberofEvents,LightningAnnualizedFrequency,LightningExposureImpactedAreasqmi,LightningExposureBuildingValue,LightningExposurePopulation,LightningExposureTotal,LightningHistoricLossRatioTotalRating,LightningExpectedAnnualLossBuildingValue,LightningExpectedAnnualLossTotal,LightningExpectedAnnualLossScore,LightningExpectedAnnualLossRating,LightningHazardTypeRiskIndexValue,LightningHazardTypeRiskIndexScore,LightningHazardTypeRiskIndexRating,RiverineFloodingHistoricLossRatioTotalRating,RiverineFloodingExpectedAnnualLossRating,RiverineFloodingHazardTypeRiskIndexRating,StrongWindNumberofEvents,StrongWindAnnualizedFrequency,StrongWindExposureImpactedAreasqmi,StrongWindExposureBuildingValue,StrongWindExposurePopulation,StrongWindExposureTotal,StrongWindHistoricLossRatioTotalRating,StrongWindExpectedAnnualLossBuildingValue,StrongWindExpectedAnnualLossTotal,StrongWindExpectedAnnualLossScore,StrongWindExpectedAnnualLossRating,StrongWindHazardTypeRiskIndexValue,StrongWindHazardTypeRiskIndexScore,StrongWindHazardTypeRiskIndexRating,TornadoAnnualizedFrequency,TornadoExposureImpactedAreasqmi,TornadoExposureBuildingValue,TornadoExposurePopulation,TornadoExposureTotal,TornadoHistoricLossRatioTotalRating,TornadoExpectedAnnualLossBuildingValue,TornadoExpectedAnnualLossTotal,TornadoExpectedAnnualLossScore,TornadoExpectedAnnualLossRating,TornadoHazardTypeRiskIndexValue,TornadoHazardTypeRiskIndexScore,TornadoHazardTypeRiskIndexRating,WinterWeatherNumberofEvents,WinterWeatherAnnualizedFrequency,WinterWeatherExposureImpactedAreasqmi,WinterWeatherExposureBuildingValue,WinterWeatherExposurePopulation,WinterWeatherExposureTotal,WinterWeatherHistoricLossRatioTotalRating,WinterWeatherExpectedAnnualLossBuildingValue,WinterWeatherExpectedAnnualLossTotal,WinterWeatherExpectedAnnualLossScore,WinterWeatherExpectedAnnualLossRating,WinterWeatherHazardTypeRiskIndexValue,WinterWeatherHazardTypeRiskIndexScore,WinterWeatherHazardTypeRiskIndexRating
Colorado,CO,Adams,1195.558,Very Low,Relatively High,Relatively High,1195.558,Very Low,Relatively Low,Very Low,285,8.379,1195.558,80465089100,519291,6100000000000,Relatively High,51419680.49,52492096.1,99.845,Very High,61400468.4,99.873,Very High,1195.558,No Rating,No Expected Annual Losses,No Rating,0.026,1195.558,80465089100,519291,6100000000000,Relatively Moderate,70814.861,333219.673,83.811,Relatively Moderate,388106.75,84.211,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,698,31.712,1195.558,80465089100,519291,6100000000000,Relatively Moderate,45046.249,1254806.805,96.364,Relatively High,1512782.413,96.718,Relatively High,Very Low,Relatively Low,Relatively Low,52,1.509,1195.558,80465089100,519291,6100000000000,Very Low,234482.044,440827.345,60.794,Relatively Moderate,510732.168,59.561,Relatively Moderate,1.515,1195.558,80465089100,519291,6100000000000,Very Low,5615339.116,11365150.51,95.347,Relatively High,13291359.98,95.673,Relatively High,72.991,4.52,1195.558,80465089100,519291,6100000000000,Very Low,157967.684,176733.771,80.409,Relatively Moderate,203898.727,79.669,Relatively Moderate
Colorado,CO,Alamosa,730.592,Very Low,Relatively Low,Relatively Moderate,730.592,Very Low,Relatively Low,Relatively Low,30,0.853,730.592,7863466114,16357,198000000000,Relatively High,116208.653,134998.345,59.553,Relatively Low,199530.181,62.965,Relatively Low,730.592,No Rating,No Expected Annual Losses,No Rating,0.015,730.592,7863466114,16357,198000000000,Relatively Moderate,51.758,3007.445,8.561,Very Low,4562.647,10.426,Very Low,Very High,Very Low,Very Low,225,10.191,730.592,7863466114,16357,198000000000,Relatively High,2717.52,40439.163,25.997,Relatively Low,60928.22,31.821,Relatively Low,Relatively Moderate,Very Low,Very Low,2,0.053,730.592,7863466114,16357,198000000000,Relatively Low,1563.476,2468.538,4.001,Very Low,3663.568,1.623,Very Low,0.053,730.592,7863466114,16357,198000000000,Relatively Low,83926.209,100280.232,15.788,Very Low,151142.086,15.717,Very Low,18.036,1.117,730.592,7863466114,16357,198000000000,Very Low,1619.196,4167.164,10.399,Very Low,6220.575,9.386,Very Low
Colorado,CO,Arapahoe,813.634,Very Low,Relatively High,Relatively High,813.634,Very Low,Very Low,Very Low,301,8.83,813.634,107000000000,654201,7700000000000,Relatively High,76822615.91,78848463.23,99.907,Very High,77135135.7,99.905,Very High,813.634,No Rating,No Expected Annual Losses,No Rating,0.026,813.634,107000000000,654201,7700000000000,Relatively Moderate,91721.786,417926.185,86.476,Relatively High,430653.848,85.443,Relatively High,Very Low,Relatively Low,Relatively Low,835,37.909,813.634,107000000000,654201,7700000000000,Very Low,94753.51,510004.21,88.417,Relatively High,521048.033,87.033,Relatively Moderate,Very Low,Relatively Low,Relatively Low,51,1.499,813.634,107000000000,654201,7700000000000,Very Low,178208.581,643763.491,72.643,Relatively Moderate,661415.522,68.247,Relatively Moderate,0.848,813.638,107000000000,654201,7700000000000,Relatively Low,15942286.44,20455809.36,97.612,Relatively High,20288638.92,97.391,Relatively High,75.248,4.659,813.634,107000000000,654201,7700000000000,Very Low,239499.036,254030.303,86.289,Relatively High,246796.537,82.914,Relatively Moderate
Colorado,CO,Archuleta,1369.076,Relatively Low,Very Low,Very Low,1369.076,Very Low,Very Low,Very Low,6,0.154,1369.076,3378025901,13356,158000000000,Relatively Low,991.178,2115.005,5.831,Very Low,2426.412,3.723,Very Low,1369.076,No Rating,No Expected Annual Losses,No Rating,0.015,1369.076,3378025901,13356,158000000000,Relatively Moderate,22.234,2435.645,7.295,Very Low,2748.285,6.596,Very Low,Very Low,Relatively Low,Relatively Moderate,760,34.538,1369.076,3378025901,13356,158000000000,Relatively High,5747.897,157766.378,67.761,Relatively Moderate,177263.087,66.055,Relatively Low,Very Low,Very Low,Very Low,3,0.07,1369.076,3378025901,13356,158000000000,Relatively High,3898.529,14634.732,7.816,Very Low,16616.466,5.027,Very Low,0.061,1369.076,3378025901,13356,158000000000,Relatively Low,20535.243,40229.41,10.577,Very Low,45906.244,8.304,Very Low,296.514,18.36,1369.076,3378025901,13356,158000000000,Very Low,5889.029,34805.1,42.742,Relatively Low,38710.918,39.453,Relatively Low
Colorado,CO,Baca,2583.182,Relatively Low,Relatively Low,Relatively Low,2583.182,Very Low,Relatively Low,Relatively Low,155,4.541,2583.182,833220714,3490,41448060129,Relatively Moderate,33460.637,81629.322,49.007,Relatively Low,107045.682,49.793,Relatively Low,2583.182,No Rating,No Expected Annual Losses,No Rating,0.084,2583.182,833220714,3490,41317220714,Relatively High,13971.078,19008.019,29.747,Relatively Low,25264.687,32.045,Relatively Low,Relatively High,Very Low,Very Low,694,31.503,2583.182,833220714,3490,41317220714,Relatively High,131.149,28358.444,19.048,Very Low,37725.163,20.978,Very Low,Very High,Very Low,Very Low,58,1.68,2583.182,833220714,3490,41448060129,Relatively High,140172.799,211668.905,38.431,Relatively Low,281627.146,39.93,Relatively Low,1.324,2583.182,833220714,3490,41448060129,Relatively Low,99530.36,207825.564,23.139,Very Low,276327.599,22.367,Very Low,36.001,2.229,2583.182,833220714,3490,41448060129,Relatively High,12618.765,55696.141,53.637,Relatively Moderate,74041.2,55.616,Relatively Low
Colorado,CO,Bent,1556.645,Very Low,Relatively Low,Relatively Low,1556.645,Very Low,Very Low,Very Low,119,3.476,1556.645,1108958577,5639,66591100286,Relatively High,197531.22,228506.514,69.727,Relatively Low,346506.48,73.974,Relatively Low,1556.645,No Rating,No Expected Annual Losses,No Rating,0.015,1556.645,1108958577,5639,66521358577,Relatively Moderate,663.251,1682.211,5.33,Very Low,2484.448,6.129,Very Low,Relatively High,Very Low,Very Low,646,29.345,1556.645,1108958577,5639,66521358577,Relatively High,524.98,50435.414,31.757,Relatively Low,73465.514,38.674,Relatively Low,Relatively Moderate,Very Low,Relatively Low,34,0.985,1556.645,1108958577,5639,66591100286,Relatively High,46791.242,113486.698,25.775,Relatively Low,168013.039,27.044,Relatively Low,1.172,1556.645,1108958577,5639,66591100286,Relatively Low,104107.854,250530.086,25,Very Low,371996.016,26.122,Very Low,26.003,1.61,1556.645,1108958577,5639,66591100286,Relatively Moderate,3776.249,17333.792,27.143,Relatively Low,25436.846,29.399,Relatively Low
Colorado,CO,Boulder,747.946,Very Low,Relatively High,Relatively High,747.946,Very Low,Very Low,Very Low,192,5.636,747.946,62233133388,330652,3900000000000,Relatively Low,293897.304,1175748.509,91.377,Relatively Moderate,1125190.97,89.819,Relatively Moderate,747.946,No Rating,No Expected Annual Losses,No Rating,0.015,747.946,62233133388,330652,3900000000000,Relatively High,52810.795,215618.257,77.582,Relatively Moderate,206436.051,73.751,Relatively Moderate,Very Low,Relatively High,Relatively High,546,24.79,747.946,62233133388,330652,3900000000000,Relatively Moderate,8101.986,1334825.58,96.622,Relatively High,1265733.23,96.01,Relatively High,Relatively Low,Relatively High,Relatively High,35,1.027,747.946,62233133388,330652,3900000000000,Relatively Low,549524.841,1564908.49,89.857,Relatively High,1500049.299,88.037,Relatively High,0.671,747.946,62233133388,330652,3900000000000,Relatively Low,7987429.65,11345672.93,95.316,Relatively High,10836432.26,94.018,Relatively High,125.566,7.775,747.946,62233133388,330652,3900000000000,Very Low,140364.766,175454.931,80.192,Relatively Moderate,166384.252,75.978,Relatively Moderate
Colorado,CO,Broomfield,33.887,Relatively Low,Very High,Very High,33.887,Very Low,Very Low,Very Low,220,6.463,33.887,14509079514,74051,874000000000,Relatively High,4678997.014,4859059.903,98.263,Relatively High,3883340.386,97.486,Relatively High,33.887,No Rating,No Expected Annual Losses,No Rating,0.015,33.887,14509079514,74051,874000000000,Relatively High,12312.348,48773.81,47.402,Relatively Low,39685.081,40.373,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,477,21.64,33.887,14509079514,74051,874000000000,Relatively High,85.2,526294.318,88.803,Relatively High,429291.68,84.138,Relatively Moderate,Relatively Low,Very Low,Very Low,42,1.216,33.887,14509079514,74051,874000000000,Relatively Moderate,852439.045,1044926.425,83.685,Relatively Moderate,838276.004,75.056,Relatively Moderate,0.031,33.887,14509079514,74051,874000000000,Relatively High,1913899.647,2685655.748,77.016,Relatively Moderate,2159957.125,67.547,Relatively Low,77.73,4.813,33.887,14509079514,74051,874000000000,Relatively Low,212163.878,288550.404,87.806,Relatively High,233044.79,81.801,Relatively Moderate
Colorado,CO,Chaffee,1025.199,Very Low,Relatively Low,Relatively Low,1025.199,Very Low,Very Low,Very Low,39,1.122,1025.199,4941813952,19470,231000000000,Relatively Moderate,143133.424,150240.18,61.756,Relatively Low,181996.579,61.47,Relatively Low,1025.199,No Rating,No Expected Annual Losses,No Rating,0.015,1025.199,4941813952,19470,231000000000,Relatively High,15977.733,19495.935,30.147,Relatively Low,23561.41,30.879,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,416,18.87,1025.199,4941813952,19470,231000000000,Very High,6856.067,254333.077,77.864,Relatively Moderate,305812.283,78.636,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,5,0.132,1025.199,4941813952,19470,231000000000,Relatively Moderate,12840.683,37212.183,13.089,Very Low,44828.351,10.722,Very Low,0.081,1025.199,4941813952,19470,231000000000,Relatively Low,69982.507,111743.483,16.47,Very Low,135274.212,14.858,Very Low,112.535,6.968,1025.199,4941813952,19470,231000000000,Very Low,837.734,1289.357,5.911,Very Low,1506.453,3.245,Very Low
Colorado,CO,Cheyenne,1799.413,Relatively Low,Relatively Moderate,Relatively Moderate,1799.413,Very Low,Relatively Low,Relatively Low,226,6.63,1799.413,635761536,1748,21014817283,Relatively High,157707.72,301524.332,74.938,Relatively Low,315536.936,72.097,Relatively Low,1799.413,No Rating,No Expected Annual Losses,No Rating,0.022,1799.413,635761536,1748,20912561536,Relatively High,674.381,1244.664,4.231,Very Low,1302.506,3.531,Very Low,No Rating,No Expected Annual Losses,No Rating,673,30.554,1799.413,635761536,1748,20912561536,Relatively High,1443.843,18482.157,12.291,Very Low,19341.07,10.714,Very Low,Relatively Low,Very Low,Very Low,87,2.55,1799.413,635761536,1748,21014817283,Relatively High,65521.12,125263.466,27.481,Relatively Low,131084.778,22.781,Relatively Low,2.175,1799.413,635761536,1748,21014817283,Relatively Low,90309.431,155104.515,19.82,Very Low,162312.618,16.449,Very Low,55.003,3.406,1799.413,635758558.2,1747.991,21014710775,Very High,53465.571,72462.069,60.569,Relatively Moderate,75829.566,56.252,Relatively Low
