state,county,total_workers_h2a
Colorado,Adams,648
Colorado,Alamosa,38
Colorado,Arapahoe,28
Colorado,Baca,8
Colorado,Bent,13
Colorado,Boulder,188
Colorado,Cheyenne,23
Colorado,Conejos,9
Colorado,Costilla,13
Colorado,Delta,223
Colorado,Denver,42
Colorado,Douglas,36
Colorado,Eagle,13
Colorado,El Paso,156
Colorado,Garfield,49
Colorado,Grand,28
Colorado,Gunnison,6
Colorado,Jackson,53
Colorado,Jefferson,22
Colorado,Kit Carson,39
Colorado,La Plata,7
Colorado,Larimer,45
Colorado,Las Animas,1
Colorado,Lincoln,3
Colorado,Logan,22
Colorado,Mesa,608
Colorado,Moffat,117
Colorado,Montezuma,6
Colorado,Montrose,233
Colorado,Morgan,16
Colorado,Otero,121
Colorado,Ouray,6
Colorado,Phillips,8
Colorado,Pitkin,5
Colorado,Prowers,11
Colorado,Pueblo,256
Colorado,Rio Blanco,59
Colorado,Rio Grande,14
Colorado,Routt,97
Colorado,Saguache,33
Colorado,San Miguel,3
Colorado,Sedgwick,6
Colorado,Summit,2
Colorado,Washington,11
Colorado,Weld,288
Colorado,Yuma,68
Colorado,#N/A,30
Montana,Beaverhead,185
Montana,Big Horn,49
Montana,Blaine,61
Montana,Broadwater,27
Montana,Carbon,1
Montana,Carter,29
Montana,Cascade,4
Montana,Chouteau,15
Montana,Custer,54
Montana,Daniels,55
Montana,Dawson,22
Montana,Deer Lodge,4
Montana,Fallon,8
Montana,Fergus,10
Montana,Flathead,73
Montana,Fremont,4
Montana,Gallatin,72
Montana,Garfield,8
Montana,Glacier,16
Montana,Golden Valley,17
Montana,Granite,3
Montana,Hill,65
Montana,Jefferson,15
Montana,Judith Basin,6
Montana,Kings,12
Montana,Lake,27
Montana,Lewis and Clark,21
Montana,Liberty,35
Montana,Lincoln,1
Montana,Madison,53
Montana,McCone,25
Montana,Meagher,6
Montana,Missoula,17
Montana,Park,13
Montana,Phillips,20
Montana,Pondera,17
Montana,Powder River,3
Montana,Powell,13
Montana,Prairie,18
Montana,Ravalli,46
Montana,Richland,106
Montana,Roosevelt,48
Montana,Rosebud,17
Montana,Sanders,13
Montana,Sheridan,63
Montana,Stillwater,28
Montana,Sweet Grass,22
Montana,Teton,26
Montana,Toole,14
Montana,Treasure,9
Montana,Valley,54
Montana,Wheatland,12
Montana,Wibaux,13
Montana,Yellowstone,69
Montana,#N/A,22
North Dakota,Adams,31
North Dakota,Barnes,41
North Dakota,Benson,48
North Dakota,Billings,2
North Dakota,Bon Homme,5
