national_risk_index_id,state,county_name,population_(2020),building_value_($),agriculture_value_($),area_(sq_mi),national_risk_index_-_value_-_composite,national_risk_index_-_score_-_composite,national_risk_index_-_rating_-_composite,national_risk_index_-_state_percentile_-_composite,expected_annual_loss_-_score_-_composite,expected_annual_loss_-_rating_-_composite,expected_annual_loss_-_state_percentile_-_composite,expected_annual_loss_-_total_-_composite,expected_annual_loss_-_building_value_-_composite,wildfire_-_number_of_events,wildfire_-_annualized_frequency,wildfire_-_exposure_-_impacted_area_(sq_mi),wildfire_-_exposure_-_building_value,wildfire_-_exposure_-_population,wildfire_-_exposure_-_population_equivalence,wildfire_-_exposure_-_agriculture_value,wildfire_-_exposure_-_total,wildfire_-_historic_loss_ratio_-_buildings,wildfire_-_historic_loss_ratio_-_population,wildfire_-_historic_loss_ratio_-_agriculture,wildfire_-_historic_loss_ratio_-_total_rating,wildfire_-_expected_annual_loss_-_building_value,wildfire_-_expected_annual_loss_-_population,wildfire_-_expected_annual_loss_-_population_equivalence,wildfire_-_expected_annual_loss_-_agriculture_value,wildfire_-_expected_annual_loss_-_total,wildfire_-_expected_annual_loss_score,wildfire_-_expected_annual_loss_rating,wildfire_-_expected_annual_loss_rate_-_building,wildfire_-_expected_annual_loss_rate_-_population,wildfire_-_expected_annual_loss_rate_-_agriculture,wildfire_-_expected_annual_loss_rate_-_national_percentile,wildfire_-_hazard_type_risk_index_value,wildfire_-_hazard_type_risk_index_score,wildfire_-_hazard_type_risk_index_rating,total_workers
C08001,Colorado,Adams,519291,80465089100,145031175,1195.557927,80519228.84,94.17753738,Relatively Moderate,96.875,93.77901578,Relatively Moderate,93.75,68812491.3,58658246.67,NA,1.9242e-4,44.48865982,3567740125,19937.65495,231000000000,9689205.446,235000000000,0.4,6.77e-5,0.013579329,Very Low,134699.841,1.05862e-4,1227.999649,31.44026482,135959.2809,68.37416481,Relatively Low,1.67e-6,2.04e-10,2.17e-7,36.0165447,116878.1751,65.12885778,Relatively Low,31
C08003,Colorado,Alamosa,16357,7863466114,102476261,730.5922584,4051514.423,34.33025772,Very Low,65.625,26.15289384,Very Low,53.125,2736135.646,1998944.516,NA,1.21957e-4,34.18938998,1832614174,3783.52964,43888943826,21270722.16,45742828722,0.4,2.57e-6,1.61433e-4,Relatively Moderate,51780.9851,2.97e-7,3.442612121,0.312046329,51784.73976,55.01113586,Very Low,6.59e-6,1.81e-11,3.05e-9,53.61119949,70092.55316,58.19280942,Very Low,38
C08005,Colorado,Arapahoe,654201,107000000000,30591685,813.637587,101715241.8,95.16385619,Relatively Moderate,100,95.79077685,Relatively High,98.4375,103506800.2,94344992.82,NA,1.5267e-4,29.50579627,6870575637,35705.46881,414000000000,2769456.641,421000000000,0.4,6.77e-5,0.013579329,Very Low,131522.0456,9.85e-5,1142.455463,7.046906964,132671.5479,67.96054725,Relatively Low,1.23e-6,1.51e-10,2.3e-7,27.076042,102771.0538,63.60165447,Very Low,28
C08009,Colorado,Baca,3490,833220714,130839415,2583.181676,1072686.352,5.79064588,Very Low,17.1875,4.952027236,Very Low,15.625,811530.6817,389356.604,NA,0.002137419,74.86165566,91185300.82,358.7249163,4161209029,16521611.45,4268915942,0.4,0.001375038,0.003260597,Relatively Moderate,86685.81218,0.001228475,14250.31264,123.0467521,101059.1716,64.33343939,Relatively Low,1.04037e-4,3.52e-7,9.4e-7,83.55074769,132063.352,66.08335985,Relatively Low,8
C08011,Colorado,Bent,5639,1108958577,69741709,1556.6447,1471175.41,8.622335348,Very Low,26.5625,6.344784896,Very Low,20.3125,979155.2893,482502.098,NA,0.001080059,23.58927391,233679879.6,2021.233092,23446303869,31989000.33,23711972749,0.4,7.67e-5,0.003260597,Very Low,103213.427,1.63184e-4,1892.935863,160.8972404,105267.2601,65.00159084,Relatively Low,9.31e-5,2.89e-8,2.31e-6,80.08272351,153987.9125,67.80146357,Relatively Low,13
C08013,Colorado,Boulder,330652,62233133388,50349802,747.9461882,42668693.04,89.50047725,Relatively Moderate,90.625,91.21015166,Relatively Moderate,90.625,44983878.87,35060671.47,NA,0.003523367,23.61250711,6690556538,26910.86295,312000000000,6428955.472,319000000000,0.4,6.77e-5,0.013579329,Relatively Low,7833630.312,0.00535882,62162.31003,183.831383,7895976.454,97.45466115,Relatively High,1.25876e-4,1.62e-8,3.65e-6,83.29621381,6722151.879,96.72287623,Relatively Moderate,188
C08017,Colorado,Cheyenne,1748,635761536,102255747,1799.413235,999121.2188,5.217944639,Very Low,14.0625,6.097183535,Very Low,17.1875,954751.4833,447610.258,NA,1.51844e-4,32.95034582,22309514.37,56.80794915,658972210.1,5026707.446,686308431.9,0.4,2.18126e-4,0.013579329,Relatively High,2490.84066,4.3e-6,49.91522105,13.28238923,2554.03827,8.208717786,Very Low,3.92e-6,2.46e-9,1.3e-7,49.02958956,2672.73094,6.936048361,Very Low,23
C08021,Colorado,Conejos,7453,1839089192,61851888,1304.026974,1150938.873,6.204263443,Very Low,18.75,3.899721448,Very Low,14.0625,695591.3293,214856.185,NA,1.8053e-4,30.31352331,380121121.2,1474.924107,17109119640,10928175.09,17500168936,0.4,2.57e-6,0.013579329,Relatively Moderate,40458.59998,4.67e-7,5.415482982,30.09547012,40494.11094,51.19312759,Very Low,2.2e-5,6.26e-11,4.87e-7,64.81069042,66566.87256,57.30194082,Very Low,9
C08023,Colorado,Costilla,3420,1034056438,25305656,1243.42967,898804.9585,4.295259306,Very Low,10.9375,2.414113278,Very Low,6.25,513900.2106,286273.3449,NA,6.79989e-4,15.77010739,297890126.4,1048.160169,12158657959,4862159.334,12461410245,0.4,4.14e-6,0.013579329,Relatively High,135252.4362,3.66e-6,42.44007511,36.82039851,135331.6967,68.34234808,Relatively Low,1.30798e-4,1.07e-9,1.46e-6,83.83709831,240025.7395,72.57397391,Relatively Low,13
C08027,Colorado,Custer,4686,1422300189,11107306,747.3944888,1279623.527,7.095132039,Very Low,20.3125,10.52305788,Very Low,26.5625,1397918.455,1081510.783,NA,0.001598873,19.18111287,704536017.1,2389.37481,27716747791,4405987.748,28425689796,0.4,1.26e-5,0.013579329,Relatively Moderate,623789.0301,6.68e-5,775.3479491,88.95646799,624653.3346,83.70983137,Relatively Low,4.38578e-4,1.43e-8,8.01e-6,94.8138721,578980.7956,81.57811009,Relatively Low,54
